date,open,close
2022-08-09,25.0,25.64
2022-08-10,24.63,24.65
2022-08-11,24.4,25.27
2022-08-12,25.05,24.09
2022-08-15,23.95,23.31
2022-08-16,23.29,23.47
2022-08-17,23.7,23.72
2022-08-18,23.59,23.85
2022-08-19,24.16,24.3
2022-08-22,24.69,24.91
2022-08-23,24.79,24.33
2022-08-24,24.24,24.3
2022-08-25,23.85,24.32
2022-08-26,24.01,25.0
2022-08-29,25.51,25.29
2022-08-30,25.03,25.95
2022-08-31,25.63,26.11
2022-09-01,26.47,26.03
2022-09-02,25.51,26.68
2022-09-06,26.42,26.27
2022-09-07,26.32,25.36
2022-09-08,25.62,24.88
2022-09-09,24.63,23.95
2022-09-12,23.93,23.6
2022-09-13,24.5,24.59
2022-09-14,24.51,23.67
2022-09-15,23.71,23.59
2022-09-16,23.91,23.65
2022-09-19,23.91,23.13
2022-09-20,23.3,23.18
2022-09-21,23.22,23.8
2022-09-22,23.84,24.75
2022-09-23,25.24,25.89
2022-09-26,26.21,25.78
2022-09-27,25.04,25.15
2022-09-28,25.27,24.75
2022-09-29,25.2,26.46
2022-09-30,26.62,26.7
2022-10-03,27.82,28.89
2022-10-04,28.06,28.21
2022-10-05,28.7,29.22
2022-10-06,29.28,29.5
2022-10-07,30.02,31.31
2022-10-10,31.31,31.37
2022-10-11,31.69,32.3
2022-10-12,32.41,32.21
2022-10-13,33.52,31.49
2022-10-14,31.15,33.92
2022-10-17,33.05,31.55
2022-10-18,30.1,31.45
2022-10-19,31.5,31.2
2022-10-20,33.14,33.24
2022-10-21,33.37,32.11
2022-10-24,33.4,32.6
2022-10-25,32.75,30.91
2022-10-26,31.27,30.58
2022-10-27,29.87,30.52
2022-10-28,30.52,30.07
2022-10-31,30.36,30.16
2022-11-01,29.29,30.15
2022-11-02,30.4,31.8
2022-11-03,32.4,31.77
2022-11-04,30.73,33.03
2022-11-07,32.76,34.64
2022-11-08,35.2,35.66
2022-11-09,35.81,38.22
2022-11-10,35.58,35.42
2022-11-11,36.26,34.45
2022-11-14,34.98,35.09
2022-11-15,34.39,34.69
2022-11-16,35.21,35.99
2022-11-17,36.64,36.76
2022-11-18,36.43,37.39
2022-11-21,38.29,39.91
2022-11-22,39.77,39.46
2022-11-23,38.57,36.36
2022-11-25,36.01,36.47
2022-11-28,37.09,36.45
2022-11-29,36.05,36.87
2022-11-30,36.51,34.07
2022-12-01,33.62,33.99
2022-12-02,34.57,34.03
2022-12-05,35.0,36.18
2022-12-06,36.47,36.74
2022-12-07,37.7,37.94
2022-12-08,36.72,36.44
2022-12-09,36.41,35.25
2022-12-12,35.85,37.51
2022-12-13,35.93,39.07
2022-12-14,39.41,40.05
2022-12-15,40.91,39.73
2022-12-16,39.32,41.65
2022-12-19,40.63,41.82
2022-12-20,42.81,45.18
2022-12-21,44.62,45.28
2022-12-22,45.75,49.28
2022-12-23,48.86,50.15
2022-12-27,52.45,55.96
2022-12-28,55.24,54.05
2022-12-29,50.29,49.68
2022-12-30,50.46,49.09
2023-01-03,51.06,55.22
2023-01-04,54.52,52.37
2023-01-05,53.81,53.87
2023-01-06,57.51,52.6
2023-01-09,49.8,49.48
2023-01-10,48.95,49.83
2023-01-11,48.49,48.0
2023-01-12,48.23,47.89
2023-01-13,50.65,48.4
2023-01-17,47.11,44.82
2023-01-18,43.11,45.74
2023-01-19,46.34,46.31
2023-01-20,45.83,44.02
2023-01-23,43.28,40.65
2023-01-24,40.85,40.58
2023-01-25,41.22,40.52
2023-01-26,36.14,36.02
2023-01-27,35.56,32.11
2023-01-30,32.07,34.08
2023-01-31,34.61,32.77
2023-02-01,32.64,31.21
2023-02-02,30.23,30.07
2023-02-03,30.76,29.77
2023-02-06,29.31,29.01
2023-02-07,28.77,28.75
2023-02-08,28.88,27.95
2023-02-09,27.22,27.27
2023-02-10,27.97,28.65
2023-02-13,29.04,29.0
2023-02-14,29.48,26.8
2023-02-15,26.48,26.18
2023-02-16,26.63,27.69
2023-02-17,27.98,26.83
2023-02-21,27.27,28.27
2023-02-22,28.22,27.77
2023-02-23,27.3,27.6
2023-02-24,28.44,28.33
2023-02-27,27.56,26.78
2023-02-28,26.4,27.02
2023-03-01,26.96,27.4
2023-03-02,29.65,29.06
2023-03-03,28.44,28.0
2023-03-06,27.91,28.56
2023-03-07,28.93,29.46
2023-03-08,29.95,30.37
2023-03-09,30.65,31.89
2023-03-10,31.53,31.8
2023-03-13,32.9,31.65
2023-03-14,31.1,30.06
2023-03-15,30.46,30.49
2023-03-16,30.51,29.91
2023-03-17,29.88,30.55
2023-03-20,30.9,30.06
2023-03-21,28.92,27.44
2023-03-22,27.22,28.35
2023-03-23,27.73,28.22
2023-03-24,28.3,28.49
2023-03-27,27.86,28.27
2023-03-28,28.25,28.67
2023-03-29,28.05,27.96
2023-03-30,27.7,27.76
2023-03-31,27.47,26.06
2023-04-03,26.99,27.66
2023-04-04,27.31,27.96
2023-04-05,28.31,29.02
2023-04-06,29.47,29.09
2023-04-10,29.92,29.2
2023-04-11,28.82,28.82
2023-04-12,28.21,29.78
2023-04-13,29.42,28.93
2023-04-14,29.25,29.06
2023-04-17,28.83,28.77
2023-04-18,28.75,29.16
2023-04-19,30.04,29.79
2023-04-20,32.17,32.7
2023-04-21,32.36,32.3
2023-04-24,32.43,32.79
2023-04-25,33.34,33.18
2023-04-26,33.23,34.63
2023-04-27,34.89,33.16
2023-04-28,33.0,32.34
2023-05-01,32.57,32.82
2023-05-02,32.78,33.1
2023-05-03,33.2,33.09
2023-05-04,32.65,32.99
2023-05-05,32.41,31.16
2023-05-08,30.5,30.88
2023-05-09,31.43,31.37
2023-05-10,30.7,31.48
2023-05-11,31.43,30.82
2023-05-12,30.08,31.54
2023-05-15,31.65,31.88
2023-05-16,31.99,31.84
2023-05-17,31.47,30.46
2023-05-18,30.39,29.94
2023-05-19,29.84,29.39
2023-05-22,29.27,27.96
2023-05-23,28.34,28.43
2023-05-24,28.97,28.85
2023-05-25,28.29,28.65
2023-05-26,28.6,27.28
2023-05-30,26.31,26.18
2023-05-31,26.36,25.82
2023-06-01,25.98,25.39
2023-06-02,25.06,24.59
2023-06-05,24.17,24.18
