date,open,close
2023-10-20,19.63,18.89
2023-10-23,18.56,18.86
2023-10-24,19.4,19.59
2023-10-25,19.3,18.89
2023-10-26,18.78,17.75
2023-10-27,18.61,18.02
2023-10-30,18.23,16.3
2023-10-31,16.04,16.8
2023-11-01,17.21,17.51
2023-11-02,18.88,19.8
2023-11-03,20.28,20.08
2023-11-06,20.8,19.91
2023-11-07,20.0,20.45
2023-11-08,20.77,20.4
2023-11-09,19.99,18.2
2023-11-10,18.19,18.96
2023-11-13,19.14,20.58
2023-11-14,22.69,23.02
2023-11-15,23.47,24.14
2023-11-16,23.44,22.27
2023-11-17,21.98,22.42
2023-11-20,22.76,22.68
2023-11-21,22.49,23.72
2023-11-22,23.82,22.33
2023-11-24,22.25,22.47
2023-11-27,22.8,22.64
2023-11-28,22.75,24.6
2023-11-29,25.19,24.14
2023-11-30,24.36,23.39
2023-12-01,22.0,23.05
2023-12-04,22.5,22.45
2023-12-05,22.03,23.06
2023-12-06,23.85,23.15
2023-12-07,23.56,23.74
2023-12-08,23.24,23.74
2023-12-11,23.75,23.15
2023-12-12,22.93,22.68
2023-12-13,22.12,23.0
2023-12-14,23.45,25.26
2023-12-15,25.43,25.7
2023-12-18,25.89,25.51
2023-12-19,25.73,26.48
2023-12-20,26.38,24.42
2023-12-21,25.35,25.86
2023-12-22,26.34,25.45
2023-12-26,25.83,26.25
2023-12-27,26.59,27.25
2023-12-28,27.71,25.52
2023-12-29,25.89,24.57
2024-01-02,24.88,24.49
2024-01-03,23.86,22.57
2024-01-04,22.61,22.45
2024-01-05,22.25,22.34
2024-01-08,22.06,22.87
2024-01-09,22.46,21.83
2024-01-10,21.85,21.65
2024-01-11,20.99,20.41
2024-01-12,19.11,18.88
2024-01-16,18.2,19.04
2024-01-17,18.17,18.26
2024-01-18,18.45,17.65
2024-01-19,17.3,17.68
2024-01-22,17.68,17.06
2024-01-23,17.49,17.16
2024-01-24,17.6,16.94
2024-01-25,13.97,12.84
2024-01-26,13.23,12.89
2024-01-29,13.23,13.97
2024-01-30,14.59,14.05
2024-01-31,13.36,13.41
2024-02-01,13.61,13.62
2024-02-02,13.08,13.45
2024-02-05,12.93,12.49
2024-02-06,11.95,13.03
2024-02-07,13.47,13.4
2024-02-08,13.58,13.65
2024-02-09,13.75,14.23
2024-02-12,14.0,13.4
2024-02-13,12.81,12.82
2024-02-14,13.03,13.47
2024-02-15,13.53,15.12
2024-02-16,15.4,15.06
2024-02-20,14.5,14.11
2024-02-21,14.02,14.25
2024-02-22,14.13,14.59
2024-02-23,14.29,13.81
2024-02-26,13.84,14.88
2024-02-27,15.57,14.91
2024-02-28,14.98,15.25
2024-02-29,15.57,15.2
2024-03-01,15.01,15.32
2024-03-04,14.75,13.15
2024-03-05,12.4,12.09
2024-03-06,11.97,11.52
2024-03-07,11.2,11.77
2024-03-08,12.16,11.34
2024-03-11,11.32,11.64
2024-03-12,11.64,11.6
2024-03-13,11.01,10.55
2024-03-14,10.3,9.69
2024-03-15,9.73,9.79
2024-03-18,10.56,11.01
2024-03-19,10.8,10.69
2024-03-20,10.9,11.23
2024-03-21,11.31,10.86
2024-03-22,10.07,10.59
2024-03-25,10.32,10.81
2024-03-26,11.56,11.44
2024-03-27,11.91,11.72
2024-03-28,11.38,11.17
2024-04-01,11.18,11.08
2024-04-02,9.76,10.0
2024-04-03,9.68,10.2
2024-04-04,10.4,10.53
2024-04-05,10.26,9.76
2024-04-08,10.28,10.69
2024-04-09,10.69,11.18
2024-04-10,10.68,10.53
2024-04-11,10.62,10.85
2024-04-12,10.57,10.4
2024-04-15,10.3,9.23
2024-04-16,8.69,8.74
2024-04-17,8.78,8.54
2024-04-18,8.07,7.92
2024-04-19,7.81,7.62
2024-04-22,6.94,7.09
2024-04-23,7.2,7.36
2024-04-24,9.2,9.11
2024-04-25,8.77,10.02
2024-04-26,9.85,9.78
2024-04-29,12.12,12.78
2024-04-30,11.84,11.39
2024-05-01,11.2,10.95
2024-05-02,11.32,10.95
2024-05-03,11.19,11.07
2024-05-06,11.39,11.52
2024-05-07,11.21,10.63
2024-05-08,9.87,10.25
2024-05-09,10.29,9.93
2024-05-10,10.05,9.52
2024-05-13,9.69,9.91
2024-05-14,10.21,10.55
2024-05-15,10.84,10.13
2024-05-16,10.13,10.21
2024-05-17,10.08,10.52
2024-05-20,10.53,10.22
2024-05-21,10.26,11.57
2024-05-22,11.1,10.77
2024-05-23,10.96,10.0
2024-05-24,10.13,10.62
2024-05-28,10.25,10.31
2024-05-29,10.0,10.25
2024-05-30,10.51,10.54
2024-05-31,10.51,10.46
2024-06-03,10.45,10.24
2024-06-04,10.04,10.05
2024-06-05,10.12,10.08
2024-06-06,10.02,10.41
2024-06-07,10.2,10.35
2024-06-10,10.18,9.91
2024-06-11,9.91,9.55
2024-06-12,9.6,10.28
2024-06-13,11.55,10.9
2024-06-14,11.27,10.34
2024-06-17,10.33,11.43
2024-06-18,11.31,11.12
2024-06-20,11.09,10.71
2024-06-21,10.79,10.88
2024-06-24,11.09,10.82
2024-06-25,11.0,11.38
2024-06-26,11.27,12.45
2024-06-27,12.3,12.6
2024-06-28,12.85,12.64
2024-07-01,13.03,14.17
2024-07-02,15.38,17.03
2024-07-03,17.55,19.27
2024-07-05,19.79,20.02
2024-07-08,19.38,20.24
2024-07-09,19.93,21.76
2024-07-10,21.82,21.89
2024-07-11,21.93,18.17
2024-07-12,17.38,19.25
2024-07-15,20.45,19.96
2024-07-16,20.33,20.52
2024-07-17,19.95,19.22
2024-07-18,19.64,19.35
2024-07-19,19.12,17.8
2024-07-22,18.5,19.6
2024-07-23,19.88,18.79
2024-07-24,15.56,14.08
2024-07-25,14.24,14.69
2024-07-26,14.79,14.62
