date,open,close
2022-11-23,40.12,40.08
2022-11-25,40.88,40.88
2022-11-28,40.96,41.08
2022-11-29,41.1,40.76
2022-11-30,41.28,42.96
2022-12-01,43.12,43.12
2022-12-02,43.54,43.54
2022-12-05,42.34,42.04
2022-12-06,41.14,41.14
2022-12-07,39.8,39.96
2022-12-08,39.6,39.76
2022-12-09,40.92,40.92
2022-12-12,38.86,38.86
2022-12-13,37.6,37.42
2022-12-14,36.56,36.56
2022-12-15,36.68,36.68
2022-12-16,35.8,35.1
2022-12-19,34.94,34.94
2022-12-20,32.64,32.64
2022-12-21,32.5,32.5
2022-12-22,29.88,29.88
2022-12-23,29.4,29.4
2022-12-27,26.62,26.62
2022-12-28,27.34,27.34
2022-12-29,28.98,28.98
2022-12-30,29.26,29.26
2023-01-03,26.78,26.78
2023-01-04,27.9,27.94
2023-01-05,26.74,27.42
2023-01-06,26.76,28.04
2023-01-09,29.5,29.32
2023-01-10,27.74,27.1
2023-01-11,27.98,28.02
2023-01-12,27.46,28.26
2023-01-13,27.24,28.02
2023-01-17,28.54,28.92
2023-01-18,29.12,28.86
2023-01-19,28.96,28.86
2023-01-20,29.22,29.26
2023-01-23,30.3,31.02
2023-01-24,31.1,31.04
2023-01-25,30.94,31.18
2023-01-26,32.5,32.52
2023-01-27,32.62,32.68
2023-01-30,32.68,30.6
2023-01-31,30.32,31.26
2023-02-01,31.54,33.04
2023-02-02,33.52,33.46
2023-02-03,33.26,33.74
2023-02-06,34.2,34.14
2023-02-07,34.16,34.0
2023-02-08,32.38,32.96
2023-02-09,34.02,34.08
2023-02-10,33.7,32.98
2023-02-13,32.84,32.68
2023-02-14,32.38,34.94
2023-02-15,35.58,35.62
2023-02-16,35.38,34.48
2023-02-17,33.8,34.68
2023-02-21,35.04,34.02
2023-02-22,34.0,33.6
2023-02-23,34.22,34.72
2023-02-24,34.2,33.9
2023-02-27,34.84,35.68
2023-02-28,36.24,35.42
2023-03-01,35.84,35.46
2023-03-02,33.88,33.42
2023-03-03,33.92,34.74
2023-03-06,35.76,34.3
2023-03-07,34.1,33.28
2023-03-08,31.28,30.84
2023-03-09,30.78,29.22
2023-03-10,29.8,29.3
2023-03-13,29.0,29.6
2023-03-14,30.3,30.74
2023-03-15,31.18,30.56
