date,open,close
2020-05-11,16.3,16.53
2020-05-12,16.62,16.24
2020-05-13,16.27,15.82
2020-05-14,15.66,15.99
2020-05-15,15.99,15.96
2020-05-18,16.14,16.22
2020-05-19,16.33,16.26
2020-05-20,16.4,16.19
2020-05-21,16.15,16.17
2020-05-22,16.1,16.17
2020-05-26,16.5,16.86
2020-05-27,17.04,16.97
2020-05-28,16.96,17.18
2020-05-29,17.19,17.36
2020-06-01,17.39,17.6
2020-06-02,17.69,17.97
2020-06-03,18.09,18.19
2020-06-04,18.15,18.22
2020-06-05,18.48,18.55
2020-06-08,18.64,19.02
2020-06-09,18.51,18.08
2020-06-10,18.14,17.88
2020-06-11,17.55,16.91
2020-06-12,17.18,17.19
2020-06-15,16.85,17.14
2020-06-16,17.5,17.36
2020-06-17,17.41,17.09
2020-06-18,17.07,17.22
2020-06-19,17.5,17.43
2020-06-22,17.43,17.34
2020-06-23,17.43,17.13
2020-06-24,17.04,16.74
2020-06-25,16.72,16.89
2020-06-26,16.84,16.36
2020-06-29,16.41,16.62
2020-06-30,16.6,16.77
2020-07-01,16.79,16.77
2020-07-02,16.95,16.7
2020-07-06,16.95,16.75
2020-07-07,16.64,16.5
2020-07-08,16.53,16.62
2020-07-09,16.62,16.44
2020-07-10,16.4,16.68
2020-07-13,16.73,16.69
2020-07-14,16.7,17.01
2020-07-15,17.11,17.43
2020-07-16,17.43,17.6
2020-07-17,17.62,17.57
2020-07-20,17.57,17.42
2020-07-21,17.48,17.41
2020-07-22,17.29,17.14
2020-07-23,17.1,17.04
2020-07-24,17.0,17.06
2020-07-27,17.05,17.25
2020-07-28,17.29,17.11
2020-07-29,17.2,17.3
2020-07-30,17.1,17.34
2020-07-31,17.49,17.36
2020-08-03,17.4,17.37
2020-08-04,17.37,17.99
2020-08-05,18.1,17.93
2020-08-06,17.85,18.05
2020-08-07,17.91,18.06
2020-08-10,18.06,18.12
2020-08-11,18.22,18.29
2020-08-12,18.39,18.37
2020-08-13,18.3,18.22
2020-08-14,18.19,18.28
2020-08-17,18.31,18.23
2020-08-18,18.3,18.38
2020-08-19,18.4,18.3
2020-08-20,18.24,18.31
2020-08-21,18.33,18.34
2020-08-24,18.39,18.48
2020-08-25,18.51,18.58
2020-08-26,18.57,18.47
2020-08-27,18.5,18.64
2020-08-28,18.69,18.55
2020-08-31,18.65,18.41
2020-09-01,18.43,18.47
2020-09-02,18.51,18.84
2020-09-03,18.8,18.34
2020-09-04,18.33,18.22
2020-09-08,18.22,18.06
2020-09-09,17.99,18.11
2020-09-10,18.13,17.85
2020-09-11,17.86,17.98
2020-09-14,18.1,18.08
2020-09-15,18.18,18.22
2020-09-16,18.25,18.14
2020-09-17,18.01,18.16
2020-09-18,18.13,17.85
2020-09-21,17.6,17.48
2020-09-22,17.55,17.79
2020-09-23,17.85,17.6
2020-09-24,17.63,17.62
2020-09-25,17.56,17.8
2020-09-28,17.88,17.93
2020-09-29,17.88,17.79
2020-09-30,17.83,17.61
2020-10-01,17.62,17.62
2020-10-02,17.62,17.77
2020-10-05,17.91,17.98
2020-10-06,18.0,17.98
2020-10-07,18.05,18.06
2020-10-08,18.15,18.38
2020-10-09,18.41,18.37
2020-10-12,18.45,18.47
2020-10-13,18.4,18.36
2020-10-14,18.29,18.23
2020-10-15,18.0,18.29
2020-10-16,18.28,18.2
2020-10-19,18.19,17.94
2020-10-20,18.05,17.99
2020-10-21,17.95,17.84
2020-10-22,17.93,18.29
2020-10-23,18.38,18.38
2020-10-26,18.18,17.95
2020-10-27,17.92,17.79
2020-10-28,17.6,17.02
2020-10-29,17.0,17.22
2020-10-30,17.12,17.11
2020-11-02,17.27,17.04
2020-11-03,17.25,17.21
2020-11-04,17.35,17.51
2020-11-05,17.63,17.66
2020-11-06,17.8,17.86
2020-11-09,18.55,18.47
2020-11-10,18.64,18.85
2020-11-11,18.92,19.09
2020-11-12,19.07,19.08
2020-11-13,19.1,18.86
2020-11-16,18.99,19.03
2020-11-17,18.98,18.95
2020-11-18,18.87,18.79
2020-11-19,18.78,18.75
2020-11-20,18.77,18.81
2020-11-23,18.89,18.84
2020-11-24,18.97,19.15
2020-11-25,19.16,19.21
2020-11-27,19.27,19.42
2020-11-30,19.45,19.32
2020-12-01,19.48,19.3
2020-12-02,19.3,19.37
2020-12-03,19.35,19.72
2020-12-04,19.76,19.91
2020-12-07,19.88,20.04
2020-12-08,20.0,19.95
2020-12-09,20.04,20.28
2020-12-10,20.06,20.06
2020-12-11,19.97,20.1
2020-12-14,20.21,19.95
2020-12-15,20.0,20.08
2020-12-16,20.03,20.08
2020-12-17,20.14,19.96
2020-12-18,19.98,19.89
2020-12-21,19.75,19.7
