date,open,close
2020-05-11,83.0,82.1
2020-05-12,79.55,82.59
2020-05-13,81.01,80.08
2020-05-14,74.53,78.97
2020-05-15,78.08,77.95
2020-05-18,78.0,77.2
2020-05-19,77.3,78.2
2020-05-20,79.0,78.0
2020-05-21,78.16,76.0
2020-05-22,75.59,74.85
2020-05-26,75.89,76.0
2020-05-27,75.7,77.66
2020-05-28,78.28,76.29
2020-05-29,76.56,77.97
2020-06-01,78.06,81.95
2020-06-02,81.91,80.5
2020-06-03,81.17,85.91
2020-06-04,84.41,79.7
2020-06-05,80.26,82.38
2020-06-08,83.29,81.0
2020-06-09,80.91,83.09
2020-06-10,83.54,85.5
2020-06-11,84.15,81.99
2020-06-12,83.16,83.26
2020-06-15,82.76,88.42
2020-06-16,89.98,88.46
2020-06-17,89.47,88.3
2020-06-18,87.9,88.84
2020-06-19,89.55,88.14
2020-06-22,88.2,89.13
2020-06-23,89.28,89.17
2020-06-24,88.78,87.95
2020-06-25,88.43,87.09
2020-06-26,87.28,86.25
2020-06-29,86.16,84.65
2020-06-30,84.65,89.31
2020-07-01,89.08,88.0
2020-07-02,88.89,89.99
2020-07-06,90.46,90.14
2020-07-07,90.28,88.66
2020-07-08,89.0,91.19
2020-07-09,92.0,92.29
2020-07-10,92.87,91.06
2020-07-13,91.89,87.44
2020-07-14,86.19,88.91
2020-07-15,90.07,90.93
2020-07-16,90.15,89.19
2020-07-17,89.52,91.87
2020-07-20,91.9,93.0
2020-07-21,93.1,95.21
2020-07-22,95.48,94.61
2020-07-23,95.8,95.85
2020-07-24,95.76,94.65
2020-07-27,94.99,95.81
2020-07-28,96.72,95.5
2020-07-29,95.95,98.88
2020-07-30,96.51,97.51
2020-07-31,97.96,98.37
2020-08-03,99.0,99.01
2020-08-04,98.75,99.03
2020-08-05,99.79,100.0
2020-08-06,99.9,99.21
2020-08-07,98.9,96.13
2020-08-10,96.24,96.9
2020-08-11,96.69,96.9
2020-08-12,97.02,97.51
2020-08-13,97.94,104.77
2020-08-14,102.65,102.71
2020-08-17,103.66,105.61
2020-08-18,104.18,105.42
2020-08-19,105.61,108.78
2020-08-20,108.78,109.5
2020-08-21,109.78,109.63
2020-08-24,109.83,105.83
2020-08-25,108.34,108.42
2020-08-26,109.01,110.33
2020-08-27,109.88,110.29
2020-08-28,110.0,110.31
2020-08-31,110.5,114.62
2020-09-01,115.25,113.73
2020-09-02,114.39,111.38
2020-09-03,109.0,107.77
2020-09-04,107.85,106.33
2020-09-08,104.06,108.27
2020-09-09,105.01,113.0
2020-09-10,114.0,113.51
2020-09-11,113.58,125.0
2020-09-14,124.27,120.91
2020-09-15,121.01,118.79
2020-09-16,117.92,122.39
2020-09-17,117.01,120.14
2020-09-18,121.93,121.89
2020-09-21,121.07,121.87
2020-09-22,122.32,122.62
2020-09-23,123.39,120.3
2020-09-24,121.37,121.4
2020-09-25,121.85,124.28
2020-09-28,124.94,124.82
2020-09-29,125.47,124.97
2020-09-30,123.11,124.68
2020-10-01,126.7,126.47
2020-10-02,124.47,128.12
2020-10-05,129.75,130.74
2020-10-06,131.41,136.78
2020-10-07,138.02,145.84
2020-10-08,148.0,152.01
2020-10-09,151.96,154.49
2020-10-12,155.15,157.04
2020-10-13,156.15,160.93
2020-10-14,162.5,161.47
2020-10-15,161.22,161.95
2020-10-16,163.99,163.7
2020-10-19,163.37,163.07
2020-10-20,163.21,152.96
2020-10-21,152.72,143.0
2020-10-22,144.8,145.65
2020-10-23,147.98,142.27
2020-10-26,142.0,141.24
2020-10-27,143.21,142.93
2020-10-28,141.46,141.03
2020-10-29,142.51,140.74
