date,open,close
2020-05-12,10.83,10.6
2020-05-13,10.7,10.65
2020-05-14,10.75,10.7
2020-05-15,10.85,10.73
2020-05-18,10.8,10.77
2020-05-19,10.83,10.75
2020-05-20,10.75,10.71
2020-05-21,10.71,10.7
2020-05-22,10.64,10.72
2020-05-26,10.9,10.76
2020-05-27,10.8,10.8
2020-05-28,10.93,10.77
2020-05-29,10.79,10.72
2020-06-01,10.7,10.88
2020-06-02,10.84,10.9
2020-06-03,10.81,10.85
2020-06-04,10.89,10.9
2020-06-05,11.99,12.75
2020-06-08,13.27,12.97
2020-06-09,13.24,13.3
2020-06-10,13.45,14.25
2020-06-11,14.2,13.95
2020-06-12,14.5,13.99
2020-06-15,13.75,13.79
2020-06-16,14.49,13.9
2020-06-17,14.07,13.9
2020-06-18,14.0,13.9
2020-06-19,13.99,13.81
2020-06-22,14.0,14.07
2020-06-23,14.27,14.3
2020-06-24,14.56,14.3
2020-06-25,14.0,13.82
2020-06-26,14.18,13.75
2020-06-29,13.99,13.69
2020-06-30,13.69,13.7
2020-07-01,13.86,13.7
2020-07-02,14.0,13.62
2020-07-06,14.0,13.65
2020-07-07,13.64,13.65
2020-07-08,13.6,13.7
2020-07-09,13.6,13.7
2020-07-10,13.69,13.7
2020-07-13,13.75,13.9
2020-07-14,14.0,13.9
2020-07-15,13.89,13.72
2020-07-16,13.56,13.75
2020-07-17,13.75,13.85
2020-07-20,14.0,13.73
2020-07-21,13.73,13.8
2020-07-22,13.74,13.79
2020-07-23,13.8,13.5
2020-07-24,13.5,13.26
2020-07-27,13.42,13.5
2020-07-28,13.33,13.5
2020-07-29,13.35,13.74
2020-07-30,14.0,13.58
2020-07-31,13.9,13.38
2020-08-03,14.0,13.9
2020-08-04,13.79,13.89
2020-08-05,14.18,13.8
2020-08-06,13.95,13.76
2020-08-07,13.9,13.84
2020-08-10,14.0,13.8
2020-08-11,13.87,13.71
2020-08-12,13.7,13.8
2020-08-13,13.8,13.74
2020-08-14,13.89,13.71
2020-08-17,13.75,13.69
2020-08-18,13.79,13.85
2020-08-19,13.89,13.82
2020-08-20,13.82,13.9
2020-08-21,14.13,13.62
2020-08-24,13.78,13.9
2020-08-25,14.25,15.0
2020-08-26,15.63,15.8
2020-08-27,16.87,15.61
2020-08-28,15.8,16.34
2020-08-31,18.95,18.4
2020-09-01,18.9,17.88
2020-09-02,18.05,16.76
2020-09-03,16.7,16.04
2020-09-04,16.25,16.97
2020-09-08,17.17,17.86
2020-09-09,18.99,17.89
2020-09-10,17.95,17.95
2020-09-11,18.2,17.71
2020-09-14,17.81,17.51
2020-09-15,17.89,18.06
2020-09-16,17.85,17.94
2020-09-17,17.58,17.92
2020-09-18,18.17,18.06
2020-09-21,17.9,17.82
2020-09-22,17.54,17.68
2020-09-23,17.46,17.28
2020-09-24,17.25,17.1
2020-09-25,17.03,17.0
2020-09-28,17.1,17.25
2020-09-29,17.5,17.77
2020-09-30,17.86,17.9
2020-10-01,17.92,18.0
2020-10-02,17.55,18.06
2020-10-05,18.12,17.95
2020-10-06,17.83,18.05
2020-10-07,18.07,18.07
2020-10-08,18.35,18.09
2020-10-09,18.19,17.98
2020-10-12,18.0,17.92
2020-10-13,17.8,17.87
2020-10-14,17.84,17.85
2020-10-15,17.49,17.95
2020-10-16,18.01,17.76
2020-10-19,17.84,17.7
2020-10-20,17.7,17.68
2020-10-21,17.75,17.86
2020-10-22,17.83,17.98
2020-10-23,18.0,17.68
2020-10-26,17.6,17.5
2020-10-27,17.66,17.51
2020-10-28,17.43,16.86
2020-10-29,16.85,16.98
2020-10-30,16.85,16.96
2020-11-02,17.05,17.08
2020-11-03,17.17,17.28
2020-11-04,17.28,17.34
2020-11-05,17.99,17.75
2020-11-06,17.7,17.28
2020-11-09,17.43,17.01
2020-11-10,16.91,16.97
2020-11-11,17.05,17.14
2020-11-12,17.58,18.2
2020-11-13,18.77,18.61
2020-11-16,19.0,18.92
2020-11-17,18.92,18.62
2020-11-18,18.93,18.82
2020-11-19,18.85,19.1
2020-11-20,19.29,19.39
2020-11-23,19.35,19.55
2020-11-24,19.88,20.14
2020-11-25,20.08,19.85
2020-11-27,20.01,20.19
2020-11-30,20.32,20.18
2020-12-01,20.03,19.13
2020-12-02,19.13,18.83
2020-12-03,19.37,19.49
2020-12-04,19.59,19.44
2020-12-07,19.7,19.63
2020-12-08,19.6,19.34
2020-12-09,19.31,19.23
2020-12-10,19.24,19.12
2020-12-11,19.11,19.08
2020-12-14,19.12,19.62
2020-12-15,19.65,20.55
2020-12-16,20.8,21.07
2020-12-17,21.0,22.54
2020-12-18,22.55,21.96
2020-12-21,21.68,21.74
2020-12-22,21.73,22.85
2020-12-23,22.78,22.38
2020-12-24,22.38,22.29
2020-12-28,22.38,21.81
2020-12-29,21.81,22.47
2020-12-30,22.34,22.26
2020-12-31,22.2,22.06
2021-01-04,22.18,21.84
2021-01-05,21.8,21.48
2021-01-06,21.29,21.57
2021-01-07,21.81,21.8
2021-01-08,21.81,21.62
2021-01-11,21.67,21.91
2021-01-12,22.06,21.84
2021-01-13,22.07,23.06
2021-01-14,23.0,23.14
2021-01-15,23.37,22.49
2021-01-19,22.42,21.79
2021-01-20,22.39,23.3
2021-01-21,23.46,22.5
2021-01-22,22.4,22.75
2021-01-25,22.75,23.07
2021-01-26,22.9,23.55
2021-01-27,23.5,24.19
2021-01-28,24.16,23.5
2021-01-29,23.45,23.58
2021-02-01,23.56,23.27
2021-02-02,23.28,23.04
2021-02-03,22.76,23.15
2021-02-04,23.21,23.36
2021-02-05,23.38,23.94
2021-02-08,24.19,25.46
2021-02-09,25.45,25.09
2021-02-10,25.37,25.1
2021-02-11,25.59,25.32
2021-02-12,25.12,25.49
2021-02-16,25.62,26.0
2021-02-17,26.0,25.64
2021-02-18,25.62,25.75
2021-02-19,26.0,26.1
2021-02-22,26.03,26.2
2021-02-23,25.94,24.99
2021-02-24,25.53,25.48
2021-02-25,26.02,25.46
2021-02-26,25.5,25.27
2021-03-01,25.81,25.53
2021-03-02,25.83,25.21
2021-03-03,25.01,24.33
2021-03-04,24.2,23.23
2021-03-05,23.35,24.08
2021-03-08,24.1,23.82
2021-03-09,23.85,24.62
2021-03-10,24.75,25.85
2021-03-11,26.14,25.94
2021-03-12,25.78,26.17
2021-03-15,26.16,25.7
2021-03-16,25.63,25.9
2021-03-17,25.73,26.3
2021-03-18,25.56,25.24
2021-03-19,25.42,26.56
2021-03-22,26.46,25.94
2021-03-23,26.09,24.71
2021-03-24,24.69,24.88
2021-03-25,24.65,24.15
2021-03-26,24.3,24.36
2021-03-29,24.34,25.01
2021-03-30,24.89,24.75
2021-03-31,24.75,24.79
2021-04-01,24.93,25.0
2021-04-05,25.09,25.51
2021-04-06,25.5,25.81
2021-04-07,25.96,25.28
2021-04-08,25.17,25.71
2021-04-09,25.5,25.25
2021-04-12,25.36,25.99
2021-04-13,26.0,26.05
2021-04-14,26.02,25.75
2021-04-15,25.87,25.54
2021-04-16,25.68,25.65
2021-04-19,25.25,24.62
2021-04-20,24.9,24.63
2021-04-21,25.83,26.41
2021-04-22,26.41,26.25
2021-04-23,26.75,27.36
2021-04-26,27.45,27.69
2021-04-27,27.48,28.01
2021-04-28,28.15,28.42
2021-04-29,28.5,28.75
2021-04-30,28.62,29.3
2021-05-03,29.21,30.03
2021-05-04,30.09,29.36
2021-05-05,29.33,29.8
2021-05-06,29.89,28.67
2021-05-07,28.78,29.01
2021-05-10,29.16,27.12
2021-05-11,27.0,26.67
2021-05-12,26.36,25.31
2021-05-13,24.41,23.24
2021-05-14,23.57,23.52
2021-05-17,23.5,23.07
2021-05-18,23.1,23.24
2021-05-19,22.86,23.04
2021-05-20,23.03,23.24
2021-05-21,23.11,23.5
2021-05-24,23.47,23.47
2021-05-25,23.54,23.64
2021-05-26,23.79,23.6
2021-05-27,23.68,23.17
2021-05-28,23.24,23.1
2021-06-01,23.17,23.79
2021-06-02,23.77,23.87
2021-06-03,23.57,24.24
2021-06-04,24.28,24.37
2021-06-07,24.17,25.02
2021-06-08,25.08,25.12
2021-06-09,25.0,24.27
2021-06-10,24.26,23.6
2021-06-11,23.77,23.7
2021-06-14,23.82,23.81
2021-06-15,23.74,23.36
2021-06-16,23.33,22.73
2021-06-17,22.66,23.05
2021-06-18,22.86,22.68
2021-06-21,22.72,22.6
2021-06-22,23.0,23.27
2021-06-23,23.09,23.68
2021-06-24,23.51,22.75
2021-06-25,22.75,22.23
2021-06-28,22.21,21.94
2021-06-29,22.03,22.2
2021-06-30,22.1,21.79
2021-07-01,21.76,22.27
2021-07-02,22.4,22.15
2021-07-06,22.34,22.53
2021-07-07,22.54,22.63
2021-07-08,22.3,22.56
2021-07-09,22.66,22.85
2021-07-12,22.79,23.02
2021-07-13,22.84,23.09
2021-07-14,23.15,22.54
2021-07-15,22.56,22.67
2021-07-16,22.69,22.75
2021-07-19,22.4,22.82
2021-07-20,22.97,23.43
2021-07-21,23.28,22.61
2021-07-22,22.75,23.14
2021-07-23,23.14,22.95
2021-07-26,23.03,23.13
2021-07-27,23.13,22.74
2021-07-28,22.69,22.49
2021-07-29,22.45,22.43
2021-07-30,22.54,22.64
2021-08-02,22.74,22.86
2021-08-03,22.89,22.32
2021-08-04,22.16,21.75
2021-08-05,21.72,22.11
2021-08-06,22.12,21.82
2021-08-09,21.86,21.54
2021-08-10,21.54,21.58
2021-08-11,21.71,20.83
2021-08-12,18.88,19.27
2021-08-13,19.03,18.77
2021-08-16,18.59,18.6
2021-08-17,18.42,17.99
2021-08-18,17.77,17.63
2021-08-19,17.81,17.76
2021-08-20,17.64,18.02
2021-08-23,17.99,18.34
2021-08-24,18.16,17.9
2021-08-25,17.85,18.41
2021-08-26,18.4,18.61
2021-08-27,18.61,19.09
2021-08-30,19.05,18.63
2021-08-31,18.67,19.42
2021-09-01,19.4,19.74
2021-09-02,19.8,19.97
2021-09-03,19.8,19.85
2021-09-07,19.77,20.18
2021-09-08,20.32,19.61
2021-09-09,19.64,19.56
2021-09-10,19.99,19.33
2021-09-13,19.24,18.82
2021-09-14,19.05,18.45
2021-09-15,18.35,18.35
2021-09-16,18.49,18.53
2021-09-17,18.47,18.32
2021-09-20,18.03,17.89
2021-09-21,17.96,18.18
2021-09-22,18.23,17.8
2021-09-23,17.83,17.93
2021-09-24,17.8,17.75
2021-09-27,17.63,17.6
2021-09-28,17.59,17.36
2021-09-29,17.27,17.41
2021-09-30,17.34,17.13
2021-10-01,17.21,16.35
2021-10-04,16.4,16.45
2021-10-05,16.47,15.99
2021-10-06,15.85,16.06
2021-10-07,16.08,16.26
2021-10-08,16.24,15.57
2021-10-11,15.55,15.44
2021-10-12,15.48,15.58
2021-10-13,15.67,15.93
2021-10-14,16.0,16.17
2021-10-15,16.37,16.05
2021-10-18,15.93,15.75
2021-10-19,16.06,16.01
2021-10-20,16.1,15.95
2021-10-21,15.9,15.77
2021-10-22,15.73,15.4
2021-10-25,15.31,15.15
2021-10-26,15.15,15.51
2021-10-27,15.51,15.5
2021-10-28,15.5,15.72
2021-10-29,15.68,15.59
2021-11-01,15.65,16.08
2021-11-02,16.05,15.95
2021-11-03,15.97,16.01
2021-11-04,15.97,15.52
2021-11-05,15.54,15.71
2021-11-08,15.72,15.85
2021-11-09,15.86,15.92
2021-11-10,15.99,16.19
2021-11-11,17.0,17.25
2021-11-12,17.2,17.29
2021-11-15,17.35,17.06
2021-11-16,16.92,16.59
2021-11-17,16.59,16.7
2021-11-18,16.54,16.55
2021-11-19,16.38,15.93
2021-11-22,16.27,15.77
2021-11-23,15.7,15.77
2021-11-24,15.75,15.89
2021-11-26,15.6,15.37
2021-11-29,15.49,15.11
2021-11-30,14.98,14.11
2021-12-01,14.33,13.73
2021-12-02,13.79,14.32
2021-12-03,14.36,14.3
2021-12-06,14.7,15.04
2021-12-07,15.27,15.77
2021-12-08,15.68,16.0
2021-12-09,15.85,15.69
2021-12-10,15.84,15.94
2021-12-13,16.0,16.97
2021-12-14,16.87,16.59
2021-12-15,16.52,17.14
2021-12-16,17.21,16.7
2021-12-17,16.49,16.45
