date,open,close
2020-05-11,1.75,1.68
2020-05-12,1.68,1.57
2020-05-13,1.6,1.45
2020-05-14,1.44,1.52
2020-05-15,1.54,1.61
2020-05-18,1.65,1.65
2020-05-19,1.67,1.57
2020-05-20,1.6,1.63
2020-05-21,1.68,1.62
2020-05-22,1.63,1.62
2020-05-26,1.63,1.63
2020-05-27,1.68,1.68
2020-05-28,1.7,1.63
2020-05-29,1.63,1.72
2020-06-01,1.74,1.68
2020-06-02,1.7,1.76
2020-06-03,1.81,1.71
2020-06-04,1.7,1.68
2020-06-05,1.7,1.65
2020-06-08,1.66,1.67
2020-06-09,1.67,1.69
2020-06-10,1.7,1.63
2020-06-11,1.67,1.54
2020-06-12,1.59,1.56
2020-06-15,1.55,1.58
2020-06-16,1.64,1.6
2020-06-17,1.61,1.57
2020-06-18,1.58,1.55
2020-06-19,1.61,1.58
2020-06-22,1.6,1.58
2020-06-23,1.59,1.54
2020-06-24,1.54,1.56
2020-06-25,1.55,1.56
2020-06-26,1.55,1.43
2020-06-29,1.45,1.46
2020-06-30,1.47,1.51
2020-07-01,1.52,1.53
2020-07-02,1.55,1.5
2020-07-06,1.53,1.57
2020-07-07,1.58,1.59
2020-07-08,1.6,1.61
2020-07-09,1.65,1.53
2020-07-10,1.55,1.56
2020-07-13,1.58,1.54
2020-07-14,1.53,1.54
2020-07-15,1.54,1.58
2020-07-16,1.58,1.59
2020-07-17,1.62,1.75
2020-07-20,1.82,1.81
2020-07-21,1.9,1.82
2020-07-22,1.84,1.84
2020-07-23,1.85,1.85
2020-07-24,1.85,1.87
2020-07-27,1.9,1.95
2020-07-28,1.95,1.85
2020-07-29,1.93,1.72
2020-07-30,1.71,1.69
2020-07-31,1.67,1.71
2020-08-03,1.75,1.81
2020-08-04,1.81,1.84
2020-08-05,1.9,1.85
2020-08-06,1.84,1.75
2020-08-07,1.76,1.77
2020-08-10,1.84,1.77
2020-08-11,1.76,1.68
2020-08-12,1.69,1.71
2020-08-13,1.73,1.69
2020-08-14,1.7,1.66
2020-08-17,1.69,1.66
2020-08-18,1.67,1.68
2020-08-19,1.68,1.72
2020-08-20,1.71,1.67
2020-08-21,1.68,1.71
2020-08-24,1.75,1.69
2020-08-25,1.7,1.72
2020-08-26,1.73,1.8
2020-08-27,1.82,1.8
2020-08-28,1.84,1.9
2020-08-31,1.91,1.82
2020-09-01,1.84,1.9
2020-09-02,1.93,1.92
2020-09-03,1.91,1.79
2020-09-04,1.79,1.78
2020-09-08,1.8,1.7
2020-09-09,1.75,1.79
2020-09-10,1.8,1.71
2020-09-11,1.73,1.69
2020-09-14,1.71,1.77
2020-09-15,1.79,1.75
2020-09-16,1.77,1.75
2020-09-17,1.73,1.76
2020-09-18,1.8,1.79
2020-09-21,1.76,1.66
2020-09-22,1.66,1.68
2020-09-23,1.7,1.55
2020-09-24,1.51,1.55
2020-09-25,1.55,1.65
2020-09-28,1.66,1.72
2020-09-29,1.74,1.74
2020-09-30,1.73,1.68
2020-10-01,1.72,1.74
2020-10-02,1.66,1.64
2020-10-05,1.67,1.7
2020-10-06,1.72,1.67
2020-10-07,1.7,1.75
2020-10-08,1.76,1.7
2020-10-09,1.73,1.7
2020-10-12,1.71,1.68
2020-10-13,1.69,1.65
2020-10-14,1.66,1.67
2020-10-15,1.65,1.67
2020-10-16,1.67,1.63
2020-10-19,1.67,1.61
2020-10-20,1.63,1.64
2020-10-21,1.65,1.69
2020-10-22,1.7,1.64
2020-10-23,1.68,1.61
2020-10-26,1.63,1.56
2020-10-27,1.56,1.56
2020-10-28,1.56,1.45
2020-10-29,1.45,1.55
2020-10-30,1.53,1.51
2020-11-02,1.51,1.45
2020-11-03,1.52,1.51
2020-11-04,1.52,1.49
2020-11-05,1.54,1.62
2020-11-06,1.65,1.62
2020-11-09,1.66,1.62
2020-11-10,1.63,1.73
2020-11-11,1.74,1.84
2020-11-12,1.82,1.74
2020-11-13,1.77,1.73
2020-11-16,1.75,1.82
2020-11-17,1.81,1.77
2020-11-18,1.8,1.8
2020-11-19,1.8,1.82
2020-11-20,1.8,1.83
2020-11-23,1.85,1.91
2020-11-24,1.93,2.12
2020-11-25,2.18,2.15
2020-11-27,2.13,2.01
2020-11-30,2.07,2.08
2020-12-01,2.16,1.98
2020-12-02,2.0,2.26
2020-12-03,2.31,2.21
2020-12-04,2.22,2.58
2020-12-07,2.74,2.85
2020-12-08,2.9,2.86
2020-12-09,2.96,2.61
2020-12-10,2.63,3.05
2020-12-11,3.09,3.06
2020-12-14,3.4,3.06
2020-12-15,3.2,3.28
2020-12-16,3.25,3.14
2020-12-17,3.2,3.57
2020-12-18,3.6,3.49
2020-12-21,3.5,3.43
2020-12-22,3.55,3.63
2020-12-23,3.68,4.07
2020-12-24,4.22,4.15
2020-12-28,4.5,4.45
2020-12-29,4.5,4.25
2020-12-30,4.29,4.31
2020-12-31,4.31,4.26
2021-01-04,4.35,3.94
2021-01-05,3.95,4.37
2021-01-06,4.49,4.16
2021-01-07,4.19,4.2
2021-01-08,4.29,4.01
2021-01-11,3.86,3.96
2021-01-12,3.95,3.76
2021-01-13,3.7,3.99
2021-01-14,4.07,4.22
2021-01-15,4.28,3.98
2021-01-19,3.98,3.93
2021-01-20,3.95,3.93
2021-01-21,3.95,3.85
2021-01-22,3.74,3.94
2021-01-25,3.93,3.89
2021-01-26,3.93,4.21
2021-01-27,4.05,4.21
2021-01-28,4.15,3.94
2021-01-29,3.95,3.8
2021-02-01,3.85,4.27
2021-02-02,4.29,4.14
2021-02-03,4.22,4.27
2021-02-04,4.31,4.19
2021-02-05,4.18,4.87
2021-02-08,5.16,5.6
2021-02-09,5.7,5.34
2021-02-10,5.68,5.4
2021-02-11,5.49,5.65
2021-02-12,5.62,5.79
2021-02-16,6.09,6.13
