date,open,close
2020-05-11,8.4,8.23
2020-05-12,8.4,8.1
2020-05-13,8.33,8.18
2020-05-14,7.94,8.24
2020-05-15,8.37,8.27
2020-05-18,8.94,9.01
2020-05-19,9.03,9.07
2020-05-20,9.35,9.27
2020-05-21,9.27,9.13
2020-05-22,9.02,8.98
2020-05-26,9.36,9.11
2020-05-27,9.32,9.57
2020-05-28,9.65,9.31
2020-05-29,9.49,9.76
2020-06-01,9.84,9.84
2020-06-02,10.05,10.26
2020-06-03,10.62,10.57
2020-06-04,10.53,10.84
2020-06-05,11.21,11.04
2020-06-08,11.16,11.27
2020-06-09,11.02,11.22
2020-06-10,11.26,11.02
2020-06-11,10.52,10.25
2020-06-12,10.57,10.63
2020-06-15,10.1,10.61
2020-06-16,10.82,10.66
2020-06-17,10.6,10.74
2020-06-18,10.47,10.55
2020-06-19,10.5,10.31
2020-06-22,10.46,10.46
2020-06-23,10.8,10.8
2020-06-24,10.71,10.4
2020-06-25,10.45,10.56
2020-06-26,10.35,10.19
2020-06-29,10.28,10.21
2020-06-30,10.13,10.31
2020-07-01,10.37,10.28
2020-07-02,10.39,10.41
2020-07-06,10.59,10.6
2020-07-07,10.66,10.47
2020-07-08,10.76,10.76
2020-07-09,10.88,10.63
2020-07-10,10.57,10.79
2020-07-13,10.94,10.78
2020-07-14,10.79,11.6
2020-07-15,11.73,11.54
2020-07-16,11.46,11.28
2020-07-17,11.45,11.31
2020-07-20,11.32,11.44
2020-07-21,11.44,11.46
2020-07-22,11.72,11.58
2020-07-23,11.59,11.29
2020-07-24,11.21,11.26
2020-07-27,11.46,11.91
2020-07-28,11.67,11.74
2020-07-29,11.92,12.09
2020-07-30,11.92,11.85
2020-07-31,11.79,11.64
2020-08-03,11.8,11.42
2020-08-04,11.18,11.49
2020-08-05,11.76,11.76
2020-08-06,11.64,11.53
2020-08-07,11.32,11.16
2020-08-10,11.4,11.36
2020-08-11,11.5,11.17
2020-08-12,11.26,11.31
2020-08-13,11.47,11.28
2020-08-14,11.33,11.33
2020-08-17,11.38,11.36
2020-08-18,11.62,11.6
2020-08-19,11.64,11.32
2020-08-20,11.03,11.38
2020-08-21,11.14,11.08
2020-08-24,11.24,11.3
2020-08-25,11.18,11.22
2020-08-26,11.23,11.05
2020-08-27,11.17,10.93
2020-08-28,11.13,11.3
2020-08-31,11.24,11.0
2020-09-01,11.25,11.5
2020-09-02,11.55,11.43
2020-09-03,11.27,11.24
2020-09-04,11.33,11.38
2020-09-08,11.03,11.04
2020-09-09,11.38,11.32
2020-09-10,11.33,11.08
2020-09-11,11.49,11.67
2020-09-14,11.87,11.75
2020-09-15,11.91,11.84
2020-09-16,11.76,11.59
2020-09-17,11.4,11.88
2020-09-18,11.79,11.51
2020-09-21,11.26,11.13
2020-09-22,10.77,10.64
2020-09-23,10.39,10.65
2020-09-24,10.65,10.7
2020-09-25,10.49,10.74
2020-09-28,10.88,10.49
2020-09-29,10.49,10.41
2020-09-30,10.56,10.58
2020-10-01,10.57,10.41
2020-10-02,10.34,10.39
2020-10-05,10.57,10.75
2020-10-06,10.87,10.5
2020-10-07,10.68,10.75
2020-10-08,10.75,11.05
2020-10-09,11.16,11.19
2020-10-12,11.27,11.22
2020-10-13,11.01,11.21
2020-10-14,11.22,11.34
2020-10-15,11.13,11.18
2020-10-16,11.22,11.09
2020-10-19,11.18,11.13
2020-10-20,11.09,11.09
2020-10-21,11.1,11.26
2020-10-22,11.25,11.3
2020-10-23,11.28,11.31
2020-10-26,11.26,11.14
2020-10-27,11.09,11.04
2020-10-28,10.82,10.53
2020-10-29,10.47,10.77
2020-10-30,10.7,10.57
2020-11-02,10.72,10.72
2020-11-03,10.93,10.99
2020-11-04,10.97,10.84
2020-11-05,11.1,11.33
2020-11-06,11.5,11.77
2020-11-09,12.21,11.8
2020-11-10,11.74,11.73
2020-11-11,11.8,11.84
2020-11-12,11.72,11.49
2020-11-13,11.51,11.68
2020-11-16,11.73,12.06
2020-11-17,12.18,12.56
2020-11-18,12.63,12.4
2020-11-19,12.57,12.76
2020-11-20,12.72,12.68
2020-11-23,13.0,13.19
2020-11-24,13.28,14.01
2020-11-25,14.0,14.3
2020-11-27,14.5,14.73
2020-11-30,14.79,14.56
2020-12-01,15.23,15.64
2020-12-02,15.04,15.33
2020-12-03,15.51,15.34
2020-12-04,15.76,16.05
2020-12-07,16.12,16.28
2020-12-08,16.13,16.19
2020-12-09,16.29,16.09
2020-12-10,16.44,17.0
2020-12-11,16.76,16.86
2020-12-14,16.75,16.46
2020-12-15,16.75,16.67
2020-12-16,16.68,16.94
2020-12-17,17.24,17.23
2020-12-18,17.28,17.37
2020-12-21,16.73,17.0
2020-12-22,16.78,16.8
2020-12-23,16.86,16.83
2020-12-24,16.9,16.89
2020-12-28,16.9,16.73
2020-12-29,16.92,16.84
2020-12-30,16.71,16.95
2020-12-31,16.95,16.76
2021-01-04,17.5,17.4
2021-01-05,17.15,17.69
2021-01-06,17.83,18.16
2021-01-07,18.38,18.93
2021-01-08,18.88,18.92
2021-01-11,18.36,18.61
2021-01-12,18.47,18.71
2021-01-13,18.45,18.15
