date,open,close
2020-05-11,57.47,57.3
2020-05-12,57.65,55.79
2020-05-13,55.2,52.76
2020-05-14,51.96,55.44
2020-05-15,52.91,51.96
2020-05-18,55.07,56.45
2020-05-19,56.58,54.84
2020-05-20,55.79,55.98
2020-05-21,55.7,56.29
2020-05-22,56.53,55.64
2020-05-26,57.91,59.82
2020-05-27,61.39,62.18
2020-05-28,62.68,58.79
2020-05-29,57.84,56.1
2020-06-01,56.18,58.07
2020-06-02,58.75,59.35
2020-06-03,60.46,64.0
2020-06-04,63.6,64.09
2020-06-05,68.71,68.31
2020-06-08,69.39,68.07
2020-06-09,66.43,64.45
2020-06-10,63.85,63.58
2020-06-11,60.8,59.8
2020-06-12,61.76,61.25
2020-06-15,59.18,63.12
2020-06-16,66.37,65.97
2020-06-17,66.14,63.61
2020-06-18,63.01,63.5
2020-06-19,64.89,63.29
2020-06-22,62.54,62.6
2020-06-23,63.83,62.69
2020-06-24,61.52,59.03
2020-06-25,58.5,59.81
2020-06-26,59.62,57.14
2020-06-29,57.72,60.36
2020-06-30,59.92,60.94
2020-07-01,61.21,60.6
2020-07-02,62.06,61.58
2020-07-06,62.76,62.99
2020-07-07,62.0,59.83
2020-07-08,59.84,60.68
2020-07-09,60.43,58.27
2020-07-10,58.56,60.74
2020-07-13,61.33,60.05
2020-07-14,59.81,60.24
2020-07-15,61.62,62.66
2020-07-16,62.05,62.32
2020-07-17,62.46,59.72
2020-07-20,59.16,57.93
2020-07-21,58.52,59.67
2020-07-22,59.45,59.69
2020-07-23,59.47,60.14
2020-07-24,60.81,59.9
2020-07-27,59.76,60.82
2020-07-28,60.37,60.81
2020-07-29,60.85,61.91
2020-07-30,60.95,60.5
2020-07-31,59.1,60.36
2020-08-03,60.33,59.81
2020-08-04,59.36,59.48
2020-08-05,59.81,61.94
2020-08-06,60.99,59.98
2020-08-07,59.85,61.28
2020-08-10,61.3,64.01
2020-08-11,65.39,64.46
2020-08-12,65.31,63.72
2020-08-13,63.34,63.83
2020-08-14,63.39,64.24
2020-08-17,64.05,63.12
2020-08-18,62.85,62.04
2020-08-19,62.04,61.4
2020-08-20,60.71,61.0
2020-08-21,60.99,61.66
2020-08-24,61.93,65.98
2020-08-25,66.5,64.44
2020-08-26,64.18,64.06
2020-08-27,64.63,66.62
2020-08-28,66.84,67.94
2020-08-31,67.88,65.75
2020-09-01,65.25,66.56
2020-09-02,67.31,68.41
2020-09-03,68.64,68.54
2020-09-04,69.35,68.22
2020-09-08,67.45,68.38
2020-09-09,67.76,68.0
2020-09-10,68.65,68.39
2020-09-11,69.18,70.03
2020-09-14,70.9,73.21
2020-09-15,75.61,74.79
2020-09-16,75.0,76.44
2020-09-17,75.61,74.59
2020-09-18,73.81,72.13
2020-09-21,70.85,68.69
2020-09-22,69.01,69.28
2020-09-23,70.65,69.07
2020-09-24,68.56,69.37
2020-09-25,69.19,70.54
2020-09-28,71.81,71.19
2020-09-29,70.98,69.66
2020-09-30,70.56,70.25
2020-10-01,70.82,71.58
2020-10-02,69.88,72.53
2020-10-05,73.44,74.91
2020-10-06,75.0,74.66
2020-10-07,75.82,76.96
2020-10-08,77.54,78.33
2020-10-09,77.66,77.61
2020-10-12,77.73,77.87
2020-10-13,77.14,76.82
2020-10-14,76.11,75.74
2020-10-15,75.6,77.74
2020-10-16,78.0,75.82
2020-10-19,74.5,72.54
2020-10-20,72.35,72.37
2020-10-21,72.68,72.75
2020-10-22,72.95,73.96
2020-10-23,74.68,74.83
2020-10-26,73.78,73.75
2020-10-27,73.85,72.38
2020-10-28,71.1,68.39
2020-10-29,68.17,68.86
2020-10-30,68.61,67.2
2020-11-02,68.64,68.77
2020-11-03,69.67,70.75
2020-11-04,70.98,69.58
2020-11-05,69.81,71.44
2020-11-06,71.12,70.01
2020-11-09,78.22,77.81
2020-11-10,77.75,77.53
2020-11-11,77.99,76.99
2020-11-12,76.42,76.16
2020-11-13,76.89,79.51
2020-11-16,81.73,82.28
2020-11-17,81.92,85.11
2020-11-18,85.26,85.56
2020-11-19,84.25,84.96
2020-11-20,85.0,84.87
2020-11-23,85.68,86.55
2020-11-24,87.95,88.75
2020-11-25,87.5,87.57
2020-11-27,88.07,85.72
2020-11-30,85.0,83.4
2020-12-01,84.98,84.81
2020-12-02,84.43,85.48
2020-12-03,85.28,86.22
2020-12-04,86.95,89.15
2020-12-07,88.33,88.3
2020-12-08,87.85,89.26
2020-12-09,89.4,88.13
2020-12-10,87.85,86.9
2020-12-11,86.48,86.66
2020-12-14,87.47,85.75
2020-12-15,86.88,87.25
2020-12-16,87.14,86.37
2020-12-17,87.13,86.55
2020-12-18,86.58,84.88
2020-12-21,83.78,84.93
2020-12-22,84.95,82.88
2020-12-23,83.62,84.27
2020-12-24,84.6,83.9
2020-12-28,84.74,85.45
2020-12-29,85.74,84.76
2020-12-30,84.62,86.15
2020-12-31,85.76,85.41
2021-01-04,86.58,85.12
2021-01-05,84.25,85.33
2021-01-06,85.97,87.48
2021-01-07,88.4,88.28
2021-01-08,88.87,87.85
