date,open,close
2025-01-24,24.05,24.0
2025-01-27,23.28,19.93
2025-01-28,20.14,20.0
2025-01-29,20.15,19.95
2025-01-30,20.19,20.38
2025-01-31,20.66,20.45
2025-02-03,20.28,21.44
2025-02-04,21.48,20.45
2025-02-05,20.45,19.68
2025-02-06,19.67,17.48
2025-02-07,17.54,17.54
2025-02-10,17.66,17.21
2025-02-11,17.06,16.5
2025-02-12,16.16,15.23
2025-02-13,15.31,15.29
2025-02-14,15.45,15.96
2025-02-18,16.5,16.93
2025-02-19,17.37,16.11
2025-02-20,16.21,16.54
2025-02-21,16.78,15.37
2025-02-24,15.6,15.18
2025-02-25,15.2,14.11
2025-02-26,14.37,14.2
2025-02-27,14.52,13.92
2025-02-28,14.02,15.09
2025-03-03,15.22,13.91
2025-03-04,13.9,13.77
2025-03-05,13.65,14.23
2025-03-06,11.38,9.1
2025-03-07,9.23,9.23
2025-03-10,9.13,8.95
2025-03-11,8.92,9.67
2025-03-12,9.97,10.25
2025-03-13,10.55,9.68
2025-03-14,10.0,10.71
2025-03-17,10.47,11.29
2025-03-18,11.27,10.89
2025-03-19,11.51,11.2
2025-03-20,11.1,11.78
2025-03-21,11.56,11.61
2025-03-24,11.71,11.57
2025-03-25,11.62,11.47
2025-03-26,11.66,11.24
2025-03-27,11.01,10.65
2025-03-28,10.53,9.95
2025-03-31,9.78,10.3
2025-04-01,10.3,10.0
2025-04-02,9.87,9.96
2025-04-03,9.5,8.98
2025-04-04,8.7,7.48
2025-04-07,7.25,7.0
2025-04-08,7.69,7.82
2025-04-09,7.78,8.73
2025-04-10,8.51,7.81
2025-04-11,7.79,8.28
2025-04-14,8.54,8.42
2025-04-15,8.4,8.29
2025-04-16,8.28,8.88
2025-04-17,8.9,8.62
2025-04-21,8.37,8.55
2025-04-22,8.63,8.6
2025-04-23,8.95,8.97
2025-04-24,9.05,8.71
2025-04-25,8.54,8.63
2025-04-28,8.56,8.63
2025-04-29,8.61,8.6
2025-04-30,8.3,8.39
2025-05-01,8.43,8.7
2025-05-02,8.93,8.82
2025-05-05,8.65,8.55
2025-05-06,8.5,8.7
2025-05-07,8.69,9.0
2025-05-08,9.19,9.16
2025-05-09,9.18,9.35
