date,open,close
2020-05-11,16.89,16.1
2020-05-12,16.29,16.78
2020-05-13,16.88,16.8
2020-05-14,16.78,16.98
2020-05-15,16.05,16.95
2020-05-18,17.6,16.85
2020-05-19,16.27,15.21
2020-05-20,15.22,15.52
2020-05-21,15.26,14.79
2020-05-22,14.31,13.89
2020-05-26,14.66,15.16
2020-05-27,14.98,15.14
2020-05-28,15.0,14.13
2020-05-29,14.55,14.6
2020-06-01,14.5,14.96
2020-06-02,15.12,14.53
2020-06-03,14.96,14.24
2020-06-04,14.17,13.84
2020-06-05,14.0,13.34
2020-06-08,13.62,13.5
2020-06-09,13.75,13.05
2020-06-10,13.32,14.91
2020-06-11,14.08,14.85
2020-06-12,14.99,14.82
2020-06-15,14.58,14.84
2020-06-16,14.93,14.66
2020-06-17,14.99,16.99
2020-06-18,16.82,16.56
2020-06-19,16.82,18.33
2020-06-22,19.75,21.52
2020-06-23,22.42,23.75
2020-06-24,23.23,22.21
2020-06-25,22.5,24.27
2020-06-26,24.35,24.56
2020-06-29,24.44,24.79
2020-06-30,24.56,23.86
2020-07-01,24.0,25.25
2020-07-02,25.42,26.07
2020-07-06,27.5,26.37
2020-07-07,26.8,27.36
2020-07-08,28.29,29.25
2020-07-09,29.5,28.95
2020-07-10,28.87,27.52
2020-07-13,28.11,24.63
2020-07-14,24.88,24.95
2020-07-15,25.6,24.65
2020-07-16,23.5,24.1
2020-07-17,24.19,24.11
2020-07-20,24.5,24.12
2020-07-21,24.95,23.52
2020-07-22,23.33,22.44
2020-07-23,23.37,22.17
2020-07-24,21.35,22.0
2020-07-27,22.1,23.4
2020-07-28,23.06,22.93
2020-07-29,23.0,22.53
2020-07-30,22.17,22.01
2020-07-31,22.0,21.74
2020-08-03,22.0,24.15
2020-08-04,24.32,26.68
2020-08-05,27.5,26.9
2020-08-06,26.58,25.33
2020-08-07,25.16,23.13
2020-08-10,22.87,22.96
2020-08-11,23.21,23.46
2020-08-12,23.92,24.31
2020-08-13,24.17,23.93
2020-08-14,23.71,22.53
2020-08-17,22.97,23.6
2020-08-18,23.8,24.08
2020-08-19,24.05,22.33
2020-08-20,22.72,23.08
2020-08-21,23.03,22.18
2020-08-24,22.5,21.6
2020-08-25,20.43,21.09
2020-08-26,21.4,24.7
2020-08-27,24.08,23.25
2020-08-28,23.95,23.75
2020-08-31,23.76,23.21
2020-09-01,22.94,24.63
2020-09-02,24.79,23.5
2020-09-03,22.76,22.44
2020-09-04,22.11,22.76
2020-09-08,21.13,21.05
2020-09-09,21.74,21.18
2020-09-10,21.05,20.6
2020-09-11,20.9,20.66
