date,open,close
2020-05-11,13.94,14.02
2020-05-12,14.93,14.93
2020-05-13,15.38,14.87
2020-05-14,14.47,14.66
2020-05-15,14.81,14.73
2020-05-18,15.22,15.71
2020-05-19,15.6,15.46
2020-05-20,15.5,15.61
2020-05-21,15.92,15.73
2020-05-22,15.81,15.91
2020-05-26,15.8,15.94
2020-05-27,15.94,16.2
2020-05-28,16.54,16.5
2020-05-29,16.67,16.51
2020-06-01,16.69,16.88
2020-06-02,16.97,16.98
2020-06-03,16.89,17.14
2020-06-04,17.13,17.26
2020-06-05,17.41,17.56
2020-06-08,18.03,18.16
2020-06-09,17.66,17.75
2020-06-10,17.46,17.45
2020-06-11,16.16,15.61
2020-06-12,16.03,15.96
2020-06-15,15.53,15.94
2020-06-16,16.45,16.29
2020-06-17,16.4,16.14
2020-06-18,15.85,15.85
2020-06-19,15.98,15.65
2020-06-22,15.91,15.88
2020-06-23,16.16,16.01
2020-06-24,15.8,15.63
2020-06-25,15.68,15.89
2020-06-26,15.88,15.41
2020-06-29,15.59,15.74
2020-06-30,15.9,15.94
2020-07-01,15.87,16.0
2020-07-02,16.32,16.06
2020-07-06,16.26,16.28
2020-07-07,16.06,15.86
2020-07-08,15.86,15.83
2020-07-09,15.73,15.49
2020-07-10,15.51,15.67
2020-07-13,15.74,15.46
2020-07-14,15.71,15.92
2020-07-15,16.07,16.09
2020-07-16,16.05,15.96
2020-07-17,15.99,16.28
2020-07-20,16.43,16.31
2020-07-21,16.69,16.56
2020-07-22,16.58,16.59
2020-07-23,16.41,16.34
2020-07-24,15.66,15.61
2020-07-27,15.45,15.62
2020-07-28,15.31,15.83
2020-07-29,15.87,16.1
2020-07-30,15.53,15.66
2020-07-31,15.7,15.2
2020-08-03,15.29,15.33
2020-08-04,15.36,15.54
2020-08-05,15.55,15.39
2020-08-06,15.27,15.42
2020-08-07,15.38,15.41
2020-08-10,15.28,15.5
2020-08-11,15.62,15.5
2020-08-12,15.75,15.75
2020-08-13,16.06,15.85
2020-08-14,15.72,15.59
2020-08-17,15.64,15.46
2020-08-18,15.69,15.58
2020-08-19,15.7,15.56
2020-08-20,15.23,15.27
2020-08-21,15.04,14.99
2020-08-24,15.25,15.39
2020-08-25,15.46,15.19
2020-08-26,15.19,15.23
2020-08-27,15.2,15.07
2020-08-28,15.04,14.94
2020-08-31,14.91,14.77
2020-09-01,14.49,14.49
2020-09-02,14.36,14.6
2020-09-03,14.61,14.39
2020-09-04,14.32,14.18
2020-09-08,14.08,14.08
2020-09-09,14.48,14.38
2020-09-10,14.36,13.97
2020-09-11,14.3,14.12
2020-09-14,14.18,14.16
2020-09-15,14.12,14.06
2020-09-16,14.2,14.2
2020-09-17,13.95,14.04
2020-09-18,14.26,14.03
2020-09-21,13.49,13.45
2020-09-22,13.49,13.42
2020-09-23,13.62,13.32
2020-09-24,13.35,13.46
2020-09-25,13.28,13.36
2020-09-28,13.42,13.48
2020-09-29,13.37,13.37
2020-09-30,13.37,13.42
2020-10-01,13.26,13.25
2020-10-02,13.19,13.46
2020-10-05,14.05,14.19
2020-10-06,14.49,14.23
2020-10-07,14.33,14.22
2020-10-08,14.52,14.57
2020-10-09,14.6,14.63
2020-10-12,14.73,14.77
2020-10-13,14.65,14.6
2020-10-14,14.41,14.37
2020-10-15,14.13,14.32
