date,open,close
2020-05-11,16.63,16.38
2020-05-12,16.62,15.2
2020-05-13,14.94,14.13
2020-05-14,13.76,14.44
2020-05-15,14.25,14.19
2020-05-18,14.78,15.6
2020-05-19,15.48,15.23
2020-05-20,15.51,15.96
2020-05-21,15.86,15.5
2020-05-22,15.56,15.76
2020-05-26,16.44,16.63
2020-05-27,17.0,17.06
2020-05-28,17.2,16.22
2020-05-29,16.1,16.26
2020-06-01,16.26,16.43
2020-06-02,16.59,16.7
2020-06-03,17.1,17.4
2020-06-04,17.15,17.24
2020-06-05,18.02,18.0
2020-06-08,18.25,18.14
2020-06-09,17.71,17.46
2020-06-10,17.41,16.65
2020-06-11,15.63,15.01
2020-06-12,15.71,15.5
2020-06-15,14.93,15.4
2020-06-16,16.13,16.03
2020-06-17,16.11,15.53
2020-06-18,15.32,15.29
2020-06-19,15.44,15.04
2020-06-22,14.88,15.12
2020-06-23,15.42,15.43
2020-06-24,15.13,14.67
2020-06-25,14.57,14.76
2020-06-26,14.65,14.6
2020-06-29,14.73,14.97
2020-06-30,14.85,15.27
2020-07-01,15.33,14.73
2020-07-02,15.03,14.87
2020-07-06,15.23,15.12
2020-07-07,14.91,14.59
2020-07-08,14.61,14.9
2020-07-09,14.89,14.9
2020-07-10,15.0,15.12
2020-07-13,15.37,15.13
2020-07-14,15.16,15.37
2020-07-15,15.76,15.88
2020-07-16,15.78,15.59
2020-07-17,15.64,15.56
2020-07-20,15.46,15.52
2020-07-21,15.73,15.48
2020-07-22,15.4,15.38
2020-07-23,15.31,15.54
2020-07-24,15.48,15.21
2020-07-27,15.26,15.72
2020-07-28,15.6,15.18
2020-07-29,15.29,15.82
2020-07-30,15.54,15.65
2020-07-31,15.59,15.69
2020-08-03,15.83,16.05
2020-08-04,16.96,16.73
2020-08-05,17.22,17.02
2020-08-06,16.88,16.94
2020-08-07,16.8,16.73
2020-08-10,16.85,16.83
2020-08-11,17.06,17.14
2020-08-12,17.34,17.54
2020-08-13,17.44,17.29
2020-08-14,17.17,17.21
2020-08-17,17.28,17.01
2020-08-18,16.93,16.42
2020-08-19,16.39,16.58
2020-08-20,16.19,16.2
2020-08-21,16.12,16.04
2020-08-24,16.24,16.62
2020-08-25,16.64,16.63
2020-08-26,16.62,16.45
2020-08-27,16.62,16.06
2020-08-28,16.15,16.41
2020-08-31,16.34,15.99
2020-09-01,16.05,16.29
2020-09-02,16.32,16.72
2020-09-03,16.6,16.14
2020-09-04,16.3,16.1
2020-09-08,15.87,15.43
2020-09-09,15.66,15.74
2020-09-10,15.79,15.37
2020-09-11,15.52,15.29
2020-09-14,15.48,15.77
2020-09-15,15.92,15.8
2020-09-16,15.98,15.97
2020-09-17,15.75,15.79
2020-09-18,15.89,15.74
2020-09-21,15.32,15.04
2020-09-22,15.09,15.17
2020-09-23,15.13,14.92
2020-09-24,14.91,15.11
2020-09-25,15.03,15.11
2020-09-28,15.35,15.89
2020-09-29,15.82,15.79
2020-09-30,15.93,15.57
2020-10-01,15.8,15.82
2020-10-02,15.46,15.63
2020-10-05,15.74,16.41
2020-10-06,16.51,16.19
2020-10-07,17.0,17.27
2020-10-08,17.48,17.74
2020-10-09,18.01,17.7
2020-10-12,17.8,17.78
2020-10-13,17.73,17.39
2020-10-14,17.48,17.34
2020-10-15,17.39,18.0
2020-10-16,18.06,17.74
2020-10-19,17.81,17.72
2020-10-20,17.91,17.62
2020-10-21,17.57,17.36
2020-10-22,17.45,17.73
2020-10-23,17.93,17.83
2020-10-26,17.49,17.34
2020-10-27,17.3,16.9
2020-10-28,16.38,16.06
2020-10-29,15.96,16.35
2020-10-30,16.24,16.22
2020-11-02,16.31,16.48
2020-11-03,16.74,16.99
2020-11-04,16.7,16.55
2020-11-05,16.82,17.46
2020-11-06,17.46,17.58
2020-11-09,18.68,18.06
2020-11-10,18.28,18.05
2020-11-11,18.16,18.25
2020-11-12,18.1,17.74
2020-11-13,18.02,18.24
2020-11-16,18.53,18.89
2020-11-17,18.61,18.56
2020-11-18,18.71,18.29
2020-11-19,18.22,18.41
2020-11-20,18.29,18.33
2020-11-23,18.55,18.85
2020-11-24,19.11,19.43
2020-11-25,19.2,19.25
2020-11-27,19.23,19.33
2020-11-30,19.18,19.36
2020-12-01,19.55,19.58
2020-12-02,19.54,19.58
2020-12-03,19.62,19.56
2020-12-04,19.7,20.28
2020-12-07,20.22,20.08
2020-12-08,19.9,20.1
2020-12-09,20.13,19.71
2020-12-10,19.48,19.39
2020-12-11,19.2,19.27
2020-12-14,19.53,19.08
2020-12-15,19.36,19.72
2020-12-16,19.85,19.78
2020-12-17,19.85,20.26
2020-12-18,20.31,20.01
2020-12-21,19.53,20.0
2020-12-22,19.99,20.04
2020-12-23,20.28,20.4
2020-12-24,20.56,20.47
2020-12-28,20.7,20.68
2020-12-29,20.79,20.33
2020-12-30,20.33,20.68
2020-12-31,20.71,20.71
2021-01-04,20.93,20.89
2021-01-05,20.82,21.44
2021-01-06,21.92,22.42
2021-01-07,22.55,22.76
2021-01-08,23.0,22.53
2021-01-11,22.15,22.85
2021-01-12,22.89,22.8
2021-01-13,22.85,22.72
2021-01-14,22.9,23.08
2021-01-15,22.41,22.53
2021-01-19,22.85,23.56
2021-01-20,23.67,23.39
2021-01-21,23.39,23.09
2021-01-22,22.74,23.16
2021-01-25,23.25,23.16
2021-01-26,23.38,22.83
2021-01-27,22.3,21.61
2021-01-28,21.96,21.95
2021-01-29,21.9,21.55
2021-02-01,21.87,22.53
2021-02-02,22.86,22.87
2021-02-03,22.76,22.99
2021-02-04,23.01,23.21
2021-02-05,23.35,23.29
2021-02-08,23.41,24.26
2021-02-09,22.0,23.57
2021-02-10,23.61,22.77
2021-02-11,23.01,23.28
2021-02-12,23.45,23.58
