date,open,close
2020-05-11,21.12,21.12
2020-05-12,21.31,20.78
2020-05-13,20.48,19.88
2020-05-14,20.1,20.64
2020-05-15,20.45,20.86
2020-05-18,21.58,20.57
2020-05-19,20.48,20.12
2020-05-20,20.62,20.46
2020-05-21,20.3,20.86
2020-05-22,20.88,20.86
2020-05-26,21.45,20.7
2020-05-27,21.0,21.78
2020-05-28,21.86,21.23
2020-05-29,21.09,21.26
2020-06-01,21.31,21.9
2020-06-02,21.95,21.94
2020-06-03,22.13,22.18
2020-06-04,22.24,21.94
2020-06-05,22.79,22.85
2020-06-08,23.18,22.64
2020-06-09,22.6,23.04
2020-06-10,23.31,22.24
2020-06-11,20.94,21.16
2020-06-12,21.93,21.74
2020-06-15,20.92,21.87
2020-06-16,22.49,22.04
2020-06-17,22.15,21.82
2020-06-18,21.74,22.05
2020-06-19,22.32,21.86
2020-06-22,21.77,21.95
2020-06-23,22.15,21.91
2020-06-24,21.72,21.24
2020-06-25,21.01,20.93
2020-06-26,20.83,21.06
2020-06-29,21.24,21.66
2020-06-30,21.62,21.78
2020-07-01,21.68,22.26
2020-07-02,22.49,21.89
2020-07-06,22.23,22.74
2020-07-07,22.47,21.96
2020-07-08,21.95,22.21
2020-07-09,22.24,21.63
2020-07-10,21.72,21.99
2020-07-13,22.21,21.43
2020-07-14,21.54,21.72
2020-07-15,22.08,22.45
2020-07-16,22.17,22.23
2020-07-17,22.26,22.41
2020-07-20,22.2,22.28
2020-07-21,22.7,22.81
2020-07-22,22.69,23.35
2020-07-23,23.36,23.12
2020-07-24,23.0,23.45
2020-07-27,23.62,23.82
2020-07-28,23.62,22.91
2020-07-29,23.32,23.43
2020-07-30,23.22,23.15
2020-07-31,23.21,23.18
2020-08-03,23.39,23.05
2020-08-04,23.36,23.81
2020-08-05,23.84,22.39
2020-08-06,22.66,22.25
2020-08-07,22.19,22.34
2020-08-10,22.34,21.98
2020-08-11,22.12,22.07
2020-08-12,22.26,22.19
2020-08-13,22.25,22.37
2020-08-14,22.21,21.99
2020-08-17,21.87,21.31
2020-08-18,21.29,21.59
2020-08-19,21.59,21.18
2020-08-20,21.0,21.68
2020-08-21,21.8,21.79
2020-08-24,21.87,21.45
2020-08-25,21.54,21.42
2020-08-26,21.43,21.24
2020-08-27,21.31,21.51
2020-08-28,21.78,21.72
2020-08-31,21.6,20.94
2020-09-01,20.94,20.95
2020-09-02,20.97,21.97
2020-09-03,21.96,21.95
2020-09-04,22.2,21.58
2020-09-08,21.43,21.85
2020-09-09,22.0,22.5
2020-09-10,22.54,21.85
2020-09-11,22.01,21.47
2020-09-14,21.59,22.03
2020-09-15,22.06,21.86
2020-09-16,21.89,21.11
2020-09-17,20.94,21.25
2020-09-18,21.29,20.96
2020-09-21,20.65,20.66
2020-09-22,20.68,21.07
