date,open,close
2021-09-29,54.05,54.49
2021-09-30,53.73,53.05
2021-10-01,52.04,53.68
2021-10-04,53.4,53.52
2021-10-05,53.65,53.1
2021-10-06,52.12,51.26
2021-10-07,50.83,49.87
2021-10-08,48.75,49.49
2021-10-11,49.32,51.47
2021-10-12,51.31,51.88
2021-10-13,51.88,52.5
2021-10-14,53.0,53.95
2021-10-15,53.77,54.75
2021-10-18,54.85,57.48
2021-10-19,57.86,57.4
2021-10-20,57.17,57.05
2021-10-21,57.04,57.4
2021-10-22,57.37,56.93
2021-10-25,57.61,59.03
2021-10-26,59.24,57.53
2021-10-27,57.74,55.35
2021-10-28,54.5,54.99
2021-10-29,55.08,54.0
2021-11-01,54.25,54.07
2021-11-02,54.74,55.0
2021-11-03,54.5,54.97
2021-11-04,54.77,55.15
2021-11-05,56.81,57.35
2021-11-08,57.83,59.3
2021-11-09,58.87,59.17
2021-11-10,58.74,57.13
2021-11-11,57.5,53.51
2021-11-12,53.46,58.34
2021-11-15,59.96,58.57
2021-11-16,58.5,57.56
2021-11-17,57.31,59.5
2021-11-18,58.65,54.16
2021-11-19,54.99,55.39
2021-11-22,55.07,53.26
2021-11-23,53.26,51.85
2021-11-24,50.93,52.25
2021-11-26,51.7,53.32
2021-11-29,52.8,50.89
2021-11-30,50.95,50.75
2021-12-01,51.04,48.58
2021-12-02,48.78,49.95
2021-12-03,49.91,45.87
2021-12-06,45.0,45.11
2021-12-07,45.99,49.26
2021-12-08,47.0,48.31
2021-12-09,47.91,46.66
2021-12-10,47.3,46.6
2021-12-13,46.25,45.47
2021-12-14,44.0,43.4
2021-12-15,43.06,43.15
2021-12-16,43.75,43.89
2021-12-17,43.5,45.77
2021-12-20,45.0,43.91
2021-12-21,44.36,48.34
2021-12-22,48.51,48.05
2021-12-23,48.01,47.49
2021-12-27,47.92,47.99
2021-12-28,47.57,47.04
2021-12-29,47.03,46.84
2021-12-30,46.18,47.65
2021-12-31,47.97,46.56
2022-01-03,46.42,45.64
2022-01-04,45.26,44.08
2022-01-05,43.4,41.66
2022-01-06,41.17,42.39
2022-01-07,43.23,39.71
2022-01-10,38.87,37.33
2022-01-11,37.33,38.76
2022-01-12,40.02,37.1
2022-01-13,37.06,35.48
2022-01-14,34.88,34.27
2022-01-18,33.65,31.97
2022-01-19,32.53,30.52
2022-01-20,31.0,31.68
2022-01-21,30.95,32.0
2022-01-24,30.84,35.09
2022-01-25,34.03,34.73
2022-01-26,36.1,35.32
2022-01-27,35.25,33.99
2022-01-28,33.51,34.88
2022-01-31,35.05,37.17
2022-02-01,37.48,38.08
2022-02-02,38.11,36.1
2022-02-03,35.13,32.71
2022-02-04,32.56,33.11
2022-02-07,32.98,32.2
2022-02-08,32.19,32.2
2022-02-09,32.9,34.06
2022-02-10,33.11,33.85
2022-02-11,33.76,32.17
2022-02-14,31.54,29.87
2022-02-15,30.65,31.92
2022-02-16,32.0,30.22
2022-02-17,29.57,29.48
2022-02-18,29.48,28.04
2022-02-22,27.99,26.75
2022-02-23,27.25,27.08
2022-02-24,26.25,29.71
2022-02-25,29.65,29.96
2022-02-28,29.72,29.93
2022-03-01,29.78,28.93
2022-03-02,29.21,29.8
2022-03-03,30.26,28.79
2022-03-04,28.7,25.68
2022-03-07,26.11,23.29
2022-03-08,22.91,24.48
2022-03-09,25.24,26.58
2022-03-10,26.01,24.75
2022-03-11,25.09,24.37
2022-03-14,24.37,23.24
2022-03-15,23.19,24.17
2022-03-16,24.5,26.82
2022-03-17,23.46,27.7
2022-03-18,27.41,31.05
2022-03-21,30.5,30.49
2022-03-22,30.39,31.51
2022-03-23,31.33,33.96
2022-03-24,33.77,35.13
2022-03-25,35.11,33.59
2022-03-28,33.24,33.57
2022-03-29,33.54,35.84
2022-03-30,35.88,36.02
2022-03-31,35.17,33.81
2022-04-01,33.75,32.87
2022-04-04,33.04,34.37
2022-04-05,34.56,32.78
2022-04-06,31.73,31.36
2022-04-07,30.96,29.6
2022-04-08,29.26,29.25
2022-04-11,28.51,30.08
2022-04-12,30.46,29.61
2022-04-13,29.37,29.32
2022-04-14,28.96,28.18
2022-04-18,27.82,27.29
2022-04-19,26.85,28.62
2022-04-20,28.72,27.35
2022-04-21,27.33,24.99
2022-04-22,24.8,23.26
2022-04-25,23.05,23.79
2022-04-26,23.37,22.89
2022-04-27,22.86,22.59
2022-04-28,22.75,23.97
2022-04-29,23.78,23.29
2022-05-02,23.34,24.52
2022-05-03,24.48,24.25
2022-05-04,24.08,24.04
2022-05-05,23.51,22.11
2022-05-06,21.74,21.4
2022-05-09,20.53,20.33
2022-05-10,20.22,18.31
2022-05-11,18.01,15.92
2022-05-12,15.44,17.2
2022-05-13,17.55,17.44
2022-05-16,17.0,16.51
2022-05-17,16.79,17.47
2022-05-18,16.3,16.41
2022-05-19,16.4,16.44
2022-05-20,16.75,15.92
2022-05-23,16.14,16.91
2022-05-24,16.63,15.8
2022-05-25,15.69,16.48
2022-05-26,16.61,17.15
2022-05-27,17.48,17.65
2022-05-31,17.7,16.98
2022-06-01,17.06,16.28
2022-06-02,16.32,17.98
2022-06-03,17.62,17.05
2022-06-06,17.58,17.66
2022-06-07,17.39,16.93
2022-06-08,16.71,16.65
2022-06-09,16.8,15.19
2022-06-10,14.87,14.42
2022-06-13,13.52,13.44
2022-06-14,13.49,13.49
2022-06-15,13.72,14.04
2022-06-16,13.47,13.35
2022-06-17,13.37,13.57
2022-06-21,13.77,13.39
2022-06-22,13.25,12.6
2022-06-23,12.64,13.5
2022-06-24,13.49,13.81
2022-06-27,13.74,12.72
2022-06-28,12.75,12.21
2022-06-29,12.28,11.51
2022-06-30,11.19,11.26
2022-07-01,11.17,11.36
2022-07-05,11.06,11.41
2022-07-06,11.38,11.18
2022-07-07,11.2,12.08
2022-07-08,11.73,11.63
2022-07-11,11.4,11.2
2022-07-12,11.22,11.58
2022-07-13,11.27,11.58
2022-07-14,11.54,11.78
2022-07-15,12.16,12.01
2022-07-18,12.16,12.0
2022-07-19,12.24,12.18
2022-07-20,12.12,12.5
2022-07-21,12.33,12.19
2022-07-22,12.55,12.59
2022-07-25,12.56,12.25
2022-07-26,11.97,11.46
2022-07-27,11.67,11.98
2022-07-28,12.02,12.51
2022-07-29,12.44,12.39
2022-08-01,12.22,11.87
2022-08-02,11.6,12.0
2022-08-03,12.13,12.8
2022-08-04,12.88,12.61
2022-08-05,12.36,12.43
2022-08-08,12.61,13.7
2022-08-09,13.74,13.22
2022-08-10,13.5,14.18
2022-08-11,15.51,16.9
2022-08-12,17.0,17.22
2022-08-15,16.96,16.75
2022-08-16,16.75,17.92
2022-08-17,17.79,16.62
2022-08-18,16.53,16.25
2022-08-19,15.76,13.79
2022-08-22,13.47,12.87
2022-08-23,12.94,12.94
