date,open,close
2024-10-25,15.5,16.55
2024-10-28,17.79,17.0
2024-10-29,16.8,15.41
2024-10-30,15.52,15.25
2024-10-31,14.94,14.77
2024-11-01,14.77,14.52
2024-11-04,14.28,15.46
2024-11-05,15.69,15.57
2024-11-06,15.0,15.51
2024-11-07,15.92,15.66
2024-11-08,15.76,15.5
2024-11-11,15.94,22.47
2024-11-12,21.78,17.18
2024-11-13,17.76,19.04
2024-11-14,19.26,15.79
2024-11-15,16.07,17.37
2024-11-18,19.0,18.33
2024-11-19,19.0,19.29
2024-11-20,19.99,17.7
2024-11-21,18.2,18.2
2024-11-22,18.16,19.87
2024-11-25,19.98,18.27
2024-11-26,18.65,17.5
2024-11-27,17.81,17.16
2024-11-29,17.16,17.37
2024-12-02,17.53,16.73
2024-12-03,16.59,17.14
2024-12-04,17.22,16.94
2024-12-05,16.99,15.95
2024-12-06,16.85,16.81
2024-12-09,17.75,17.16
2024-12-10,17.0,15.92
2024-12-11,16.0,16.0
2024-12-12,16.24,16.04
2024-12-13,16.0,16.2
2024-12-16,16.19,16.0
2024-12-17,15.75,15.66
2024-12-18,15.72,14.68
2024-12-19,15.24,15.07
2024-12-20,14.66,14.7
2024-12-23,14.9,14.75
2024-12-24,14.92,14.69
2024-12-26,14.52,14.58
2024-12-27,14.41,14.2
2024-12-30,14.23,13.85
2024-12-31,13.93,14.18
2025-01-02,14.18,14.19
2025-01-03,14.11,13.89
2025-01-06,14.0,13.11
2025-01-07,13.16,13.79
2025-01-08,13.72,13.05
2025-01-10,13.13,12.81
2025-01-13,12.62,12.22
2025-01-14,12.31,12.3
2025-01-15,12.91,12.46
2025-01-16,12.72,12.62
2025-01-17,12.7,13.25
2025-01-21,13.25,12.82
2025-01-22,13.33,13.91
2025-01-23,14.0,14.5
2025-01-24,15.5,15.32
2025-01-27,15.5,14.35
2025-01-28,14.45,14.54
2025-01-29,14.74,15.19
2025-01-30,15.38,14.95
2025-01-31,15.14,14.69
2025-02-03,14.25,14.32
2025-02-04,14.64,14.58
2025-02-05,14.5,13.8
2025-02-06,14.75,15.93
2025-02-07,16.63,15.94
2025-02-10,16.25,15.99
2025-02-11,15.8,15.9
2025-02-12,16.05,16.56
2025-02-13,16.7,17.17
2025-02-14,35.73,31.5
2025-02-18,42.62,40.4
2025-02-19,38.7,34.01
2025-02-20,33.01,27.59
2025-02-21,29.6,24.42
2025-02-24,28.11,24.05
2025-02-25,23.52,22.33
2025-02-26,22.59,23.34
2025-02-27,24.14,19.83
2025-02-28,18.99,19.95
2025-03-03,20.35,17.6
2025-03-04,16.75,16.88
2025-03-05,18.0,17.8
2025-03-06,17.15,15.95
2025-03-07,16.5,16.39
2025-03-10,15.99,16.01
2025-03-11,15.76,16.31
2025-03-12,16.5,16.58
2025-03-13,16.46,16.27
2025-03-14,16.38,18.4
2025-03-17,18.68,18.01
2025-03-18,17.7,16.78
2025-03-19,16.9,16.8
2025-03-20,16.41,15.96
2025-03-21,15.6,15.88
2025-03-24,16.3,16.51
2025-03-25,16.46,16.11
2025-03-26,16.09,14.95
2025-03-27,14.81,15.36
2025-03-28,15.59,14.52
2025-03-31,13.98,13.57
2025-04-01,13.45,13.92
2025-04-02,13.45,13.71
2025-04-03,12.9,12.88
2025-04-04,12.5,11.23
2025-04-07,10.35,10.17
2025-04-08,10.71,8.84
2025-04-09,8.81,10.77
2025-04-10,10.2,9.81
2025-04-11,9.9,9.95
2025-04-14,10.45,10.03
2025-04-15,10.03,9.46
2025-04-16,9.15,8.63
2025-04-17,8.9,8.23
2025-04-21,8.1,8.44
2025-04-22,8.45,8.79
2025-04-23,9.04,7.3
2025-04-24,7.78,7.09
2025-04-25,7.26,7.04
2025-04-28,7.01,6.65
2025-04-29,6.7,6.7
2025-04-30,6.67,6.49
2025-05-01,6.5,6.58
2025-05-02,6.7,7.35
2025-05-05,7.4,6.85
2025-05-06,7.67,9.02
2025-05-07,9.42,8.31
2025-05-08,8.47,8.27
2025-05-09,8.29,8.01
