date,open,close
2020-05-12,3.32,3.32
2020-05-13,3.29,3.35
2020-05-14,3.25,3.25
2020-05-15,3.25,3.25
2020-05-18,3.25,3.25
2020-05-19,3.22,3.21
2020-05-20,3.15,3.12
2020-05-21,3.29,3.1
2020-05-22,3.1,3.1
2020-05-26,3.21,3.25
2020-05-27,3.21,3.22
2020-05-28,3.22,3.4
2020-05-29,3.41,3.38
2020-06-01,3.21,3.2
2020-06-02,3.47,3.22
2020-06-03,3.29,3.29
2020-06-04,3.29,3.29
2020-06-05,3.44,3.44
2020-06-08,3.64,3.87
2020-06-09,3.7,3.35
2020-06-10,3.53,3.48
2020-06-11,3.38,3.31
2020-06-12,3.25,3.15
2020-06-15,3.25,3.23
2020-06-16,3.3,3.75
2020-06-17,5.27,4.94
2020-06-18,4.8,4.19
2020-06-19,4.1,3.73
2020-06-22,4.06,3.98
2020-06-23,3.81,3.9
2020-06-24,4.01,3.82
2020-06-25,3.72,4.17
2020-06-26,4.3,4.05
2020-06-29,4.13,4.2
2020-06-30,3.94,3.46
2020-07-01,3.45,3.45
2020-07-02,3.51,3.41
2020-07-06,3.62,3.54
2020-07-07,3.64,3.31
2020-07-08,3.46,3.24
2020-07-09,3.28,3.34
2020-07-10,3.13,3.25
2020-07-13,3.38,3.3
2020-07-14,3.25,3.22
2020-07-15,3.38,3.31
2020-07-16,3.3,3.4
2020-07-17,3.4,3.4
2020-07-20,3.39,3.38
2020-07-21,3.38,3.52
2020-07-22,3.44,3.76
2020-07-23,3.67,3.79
2020-07-24,3.92,3.7
2020-07-27,3.96,3.88
2020-07-28,3.87,4.08
2020-07-29,4.09,3.98
2020-07-30,4.1,3.61
2020-07-31,3.35,3.55
2020-08-03,3.53,3.63
2020-08-04,3.77,3.56
2020-08-05,3.94,3.85
2020-08-06,3.87,3.72
2020-08-07,3.75,3.75
2020-08-10,3.87,3.85
2020-08-11,3.99,3.92
2020-08-12,3.87,3.8
2020-08-13,3.91,3.81
2020-08-14,3.85,3.85
2020-08-17,3.85,3.85
2020-08-18,3.85,3.85
2020-08-19,3.73,3.59
2020-08-20,3.46,3.39
2020-08-21,3.39,3.39
2020-08-24,3.56,3.29
2020-08-25,3.27,3.25
2020-08-26,3.34,3.31
2020-08-27,3.31,3.31
2020-08-28,3.26,3.5
2020-08-31,3.34,3.34
2020-09-01,3.19,3.25
2020-09-02,3.21,3.19
2020-09-03,3.34,3.96
2020-09-04,3.96,3.51
2020-09-08,3.71,3.69
2020-09-09,3.55,3.43
2020-09-10,3.75,3.56
2020-09-11,3.58,3.51
2020-09-14,3.37,3.54
2020-09-15,3.39,3.49
2020-09-16,3.33,3.33
2020-09-17,3.32,3.37
2020-09-18,3.31,3.45
2020-09-21,3.3,3.35
2020-09-22,3.51,3.34
2020-09-23,3.32,3.35
2020-09-24,3.33,3.42
2020-09-25,3.31,3.33
2020-09-28,3.4,3.47
2020-09-29,3.5,3.52
2020-09-30,3.59,3.57
2020-10-01,3.39,3.41
2020-10-02,3.45,3.48
2020-10-05,3.33,3.34
2020-10-06,3.44,3.8
2020-10-07,3.8,3.53
2020-10-08,3.52,3.56
2020-10-09,3.54,3.46
2020-10-12,3.59,3.46
2020-10-13,3.41,3.43
2020-10-14,3.41,3.45
2020-10-15,3.5,3.36
2020-10-16,3.4,3.44
2020-10-19,3.57,3.55
2020-10-20,3.71,3.69
2020-10-21,3.6,3.97
2020-10-22,4.13,4.4
2020-10-23,4.4,4.46
2020-10-26,4.24,4.09
2020-10-27,4.12,4.16
2020-10-28,4.22,4.9
2020-10-29,4.97,4.38
2020-10-30,4.5,4.4
2020-11-02,4.28,3.91
2020-11-03,3.9,3.97
2020-11-04,3.82,4.06
2020-11-05,4.27,4.18
2020-11-06,4.18,4.18
2020-11-09,4.18,4.49
2020-11-10,4.56,4.64
2020-11-11,4.75,4.8
2020-11-12,5.13,4.98
2020-11-13,5.08,4.87
2020-11-16,4.87,4.87
2020-11-17,4.97,5.01
2020-11-18,5.11,5.12
2020-11-19,4.96,5.15
2020-11-20,5.25,5.26
2020-11-23,5.45,5.45
2020-11-24,5.13,5.42
2020-11-25,5.47,5.31
2020-11-27,5.31,5.31
2020-11-30,5.23,5.1
2020-12-01,5.44,5.16
2020-12-02,5.21,5.67
2020-12-03,5.76,5.76
2020-12-04,5.83,5.9
2020-12-07,5.96,6.23
2020-12-08,6.11,6.25
2020-12-09,6.19,6.11
2020-12-10,6.11,6.11
2020-12-11,6.05,6.25
2020-12-14,6.07,6.13
2020-12-15,5.85,6.19
2020-12-16,6.24,6.5
2020-12-17,6.66,6.43
2020-12-18,6.44,6.42
2020-12-21,6.47,6.51
2020-12-22,6.31,6.75
2020-12-23,6.43,6.45
2020-12-24,6.45,6.48
2020-12-28,6.5,6.75
2020-12-29,6.83,7.6
2020-12-30,8.74,10.35
2020-12-31,10.82,9.97
2021-01-04,10.49,9.67
2021-01-05,8.7,8.61
2021-01-06,8.65,9.45
2021-01-07,9.64,10.0
2021-01-08,9.68,9.67
2021-01-11,9.7,9.98
2021-01-12,9.7,9.85
2021-01-13,9.7,11.0
2021-01-14,11.05,10.4
2021-01-15,11.49,11.13
2021-01-19,11.92,11.1
2021-01-20,11.3,11.6
2021-01-21,11.49,10.96
2021-01-22,11.03,10.87
2021-01-25,10.75,11.69
2021-01-26,11.68,11.59
2021-01-27,11.01,9.16
2021-01-28,10.23,9.77
2021-01-29,10.42,9.8
2021-02-01,10.05,10.0
2021-02-02,10.2,10.05
2021-02-03,9.85,10.6
2021-02-04,10.46,10.29
2021-02-05,10.22,10.22
2021-02-08,10.22,10.03
2021-02-09,10.11,11.05
2021-02-10,11.75,11.5
2021-02-11,11.72,10.96
2021-02-12,11.11,11.8
2021-02-16,11.77,13.74
2021-02-17,12.61,13.72
2021-02-18,13.3,12.15
2021-02-19,13.0,11.21
2021-02-22,10.88,10.81
2021-02-23,10.47,9.87
2021-02-24,9.74,9.87
2021-02-25,10.0,9.54
2021-02-26,9.4,9.67
2021-03-01,9.99,9.91
2021-03-02,10.1,9.82
2021-03-03,9.77,10.0
2021-03-04,10.08,9.4
2021-03-05,9.28,9.04
2021-03-08,9.06,9.48
2021-03-09,9.4,9.88
2021-03-10,9.6,9.96
2021-03-11,10.56,10.38
2021-03-12,10.74,10.37
2021-03-15,10.06,10.42
2021-03-16,9.66,9.63
2021-03-17,9.77,10.35
2021-03-18,10.37,10.05
2021-03-19,10.1,10.7
2021-03-22,10.7,10.3
2021-03-23,10.6,10.34
2021-03-24,10.55,10.94
2021-03-25,11.08,10.17
2021-03-26,10.16,10.23
2021-03-29,10.1,10.0
2021-03-30,9.69,9.86
2021-03-31,9.8,9.8
2021-04-01,10.34,10.5
2021-04-05,10.3,10.38
2021-04-06,10.33,9.98
2021-04-07,10.08,10.78
2021-04-08,10.55,10.97
2021-04-09,10.73,9.8
2021-04-12,10.2,10.36
2021-04-13,10.27,10.2
2021-04-14,10.21,9.66
2021-04-15,10.0,9.1
2021-04-16,9.2,9.56
2021-04-19,9.37,10.05
2021-04-20,10.06,10.23
2021-04-21,10.11,10.13
2021-04-22,9.88,9.63
2021-04-23,9.79,9.71
2021-04-26,9.45,9.82
2021-04-27,10.12,10.05
2021-04-28,10.05,9.75
2021-04-29,9.87,9.93
2021-04-30,9.66,9.83
2021-05-03,9.79,10.3
2021-05-04,10.23,10.05
2021-05-05,10.05,9.97
2021-05-06,9.99,10.41
2021-05-07,10.32,10.29
2021-05-10,10.23,10.46
2021-05-11,10.17,10.15
2021-05-12,10.08,9.29
2021-05-13,9.72,9.16
2021-05-14,9.35,8.95
2021-05-17,9.0,9.18
2021-05-18,9.07,9.11
2021-05-19,9.26,9.05
2021-05-20,9.12,9.6
2021-05-21,9.73,9.39
2021-05-24,9.12,9.4
2021-05-25,9.24,9.4
2021-05-26,9.25,9.2
2021-05-27,9.24,9.11
2021-05-28,9.3,9.39
2021-06-01,9.33,9.31
2021-06-02,9.28,9.4
2021-06-03,9.4,9.52
2021-06-04,9.68,10.87
2021-06-07,10.74,10.76
2021-06-08,11.12,11.1
2021-06-09,11.17,10.85
2021-06-10,11.05,11.01
2021-06-11,11.02,10.76
2021-06-14,10.86,10.63
2021-06-15,10.79,10.33
2021-06-16,10.66,10.1
2021-06-17,10.21,10.32
2021-06-18,10.32,10.43
2021-06-21,10.28,10.43
2021-06-22,10.41,11.15
2021-06-23,10.89,11.31
2021-06-24,12.02,11.3
2021-06-25,17.81,18.56
2021-06-28,19.4,20.87
2021-06-29,20.47,21.2
2021-06-30,19.63,19.31
2021-07-01,19.5,22.8
2021-07-02,22.8,23.47
2021-07-06,22.19,20.45
2021-07-07,20.7,20.75
2021-07-08,20.76,20.58
2021-07-09,20.62,21.78
2021-07-12,22.25,21.47
2021-07-13,21.06,21.04
2021-07-14,21.04,20.4
2021-07-15,20.45,17.94
2021-07-16,18.01,19.22
2021-07-19,18.76,19.19
2021-07-20,18.9,19.03
2021-07-21,18.76,19.9
2021-07-22,19.86,21.15
2021-07-23,21.6,20.99
2021-07-26,21.25,22.97
2021-07-27,22.6,22.0
2021-07-28,21.81,22.37
2021-07-29,22.2,21.97
2021-07-30,21.52,21.77
2021-08-02,22.12,23.54
2021-08-03,24.49,22.99
2021-08-04,22.98,22.8
2021-08-05,22.89,22.7
2021-08-06,22.81,22.62
2021-08-09,22.75,22.49
2021-08-10,23.54,22.9
2021-08-11,23.2,23.39
2021-08-12,23.75,23.98
2021-08-13,24.0,24.5
2021-08-16,24.0,23.29
2021-08-17,23.54,23.27
2021-08-18,22.92,22.24
2021-08-19,22.0,23.0
2021-08-20,22.76,23.51
2021-08-23,23.07,23.72
2021-08-24,24.1,25.39
2021-08-25,24.83,24.55
2021-08-26,24.35,24.7
2021-08-27,25.32,31.75
2021-08-30,31.53,28.73
2021-08-31,28.7,27.4
2021-09-01,27.83,26.75
2021-09-02,27.17,30.33
2021-09-03,29.92,29.16
2021-09-07,28.99,29.75
2021-09-08,29.93,28.6
2021-09-09,28.59,29.09
2021-09-10,29.37,27.39
2021-09-13,27.57,26.09
2021-09-14,26.65,26.74
2021-09-15,26.78,27.51
