date,open,close
2020-05-11,24.63,25.35
2020-05-12,25.38,24.86
2020-05-13,27.0,27.9
2020-05-14,27.05,26.06
2020-05-15,26.01,26.51
2020-05-18,27.12,27.57
2020-05-19,27.21,26.5
2020-05-20,26.6,27.5
2020-05-21,27.5,28.48
2020-05-22,28.41,28.8
2020-05-26,30.0,30.92
2020-05-27,31.65,30.52
2020-05-28,30.61,30.43
2020-05-29,30.29,30.36
2020-06-01,29.76,30.54
2020-06-02,30.91,32.25
2020-06-03,33.17,34.65
2020-06-04,34.64,34.68
2020-06-05,36.0,36.58
2020-06-08,36.69,41.04
2020-06-09,39.59,40.71
2020-06-10,40.68,42.24
2020-06-11,39.0,39.01
2020-06-12,40.22,41.2
2020-06-15,39.83,41.76
2020-06-16,43.32,43.85
2020-06-17,44.5,46.27
2020-06-18,46.26,48.08
2020-06-19,48.76,47.22
2020-06-22,47.37,46.45
2020-06-23,47.2,49.43
2020-06-24,46.15,44.81
2020-06-25,44.97,46.15
2020-06-26,45.96,43.88
2020-06-29,44.06,43.52
2020-06-30,43.07,42.01
2020-07-01,41.99,43.36
2020-07-02,46.47,44.79
2020-07-06,46.03,47.59
2020-07-07,47.5,46.75
2020-07-08,47.08,47.7
2020-07-09,48.1,47.16
2020-07-10,47.0,47.01
2020-07-13,47.59,45.73
2020-07-14,45.65,44.62
2020-07-15,45.1,44.93
2020-07-16,42.98,42.6
2020-07-17,42.92,42.59
2020-07-20,42.59,44.59
2020-07-21,45.22,44.94
2020-07-22,45.4,45.64
2020-07-23,45.56,44.32
2020-07-24,43.79,44.63
2020-07-27,44.92,47.23
2020-07-28,46.81,47.28
2020-07-29,47.93,48.46
2020-07-30,47.37,47.43
2020-07-31,47.62,46.5
2020-08-03,47.1,47.1
2020-08-04,46.92,47.85
2020-08-05,48.19,47.94
2020-08-06,48.12,50.0
2020-08-07,49.42,48.13
2020-08-10,48.58,47.98
2020-08-11,48.48,47.35
2020-08-12,50.13,46.53
2020-08-13,46.39,45.16
2020-08-14,45.09,44.15
2020-08-17,44.21,44.02
2020-08-18,44.37,44.57
2020-08-19,44.79,44.67
2020-08-20,43.77,45.14
2020-08-21,45.11,43.52
2020-08-24,44.0,46.14
2020-08-25,46.14,47.17
2020-08-26,47.1,47.77
2020-08-27,48.0,49.6
2020-08-28,50.08,49.74
2020-08-31,49.85,49.39
2020-09-01,49.71,51.03
2020-09-02,51.63,49.49
2020-09-03,48.9,47.89
2020-09-04,48.04,46.81
2020-09-08,45.35,45.7
2020-09-09,46.5,47.38
2020-09-10,47.9,45.43
2020-09-11,46.29,44.44
2020-09-14,45.0,44.08
2020-09-15,44.54,43.99
2020-09-16,44.25,43.99
2020-09-17,43.0,43.37
2020-09-18,43.94,43.06
2020-09-21,42.0,42.09
2020-09-22,42.53,43.38
2020-09-23,43.47,41.55
2020-09-24,40.97,42.56
2020-09-25,42.36,43.08
2020-09-28,44.01,41.5
2020-09-29,41.5,41.39
2020-09-30,41.48,41.69
2020-10-01,41.68,41.9
2020-10-02,40.85,40.91
2020-10-05,41.43,42.09
2020-10-06,42.17,43.08
2020-10-07,43.58,41.76
2020-10-08,42.25,42.98
2020-10-09,43.42,42.57
2020-10-12,43.0,42.54
2020-10-13,42.26,41.16
2020-10-14,41.5,43.0
2020-10-15,41.71,42.19
2020-10-16,43.07,42.22
2020-10-19,42.48,42.11
2020-10-20,42.31,44.49
2020-10-21,44.58,45.5
2020-10-22,45.51,43.67
2020-10-23,43.65,43.46
2020-10-26,42.97,42.78
2020-10-27,42.77,43.11
2020-10-28,41.88,40.63
2020-10-29,40.66,40.4
2020-10-30,39.96,40.08
2020-11-02,40.49,41.12
2020-11-03,41.53,42.34
2020-11-04,42.09,40.38
2020-11-05,41.41,42.95
2020-11-06,42.91,42.14
2020-11-09,44.54,43.06
2020-11-10,42.6,39.32
2020-11-11,39.62,39.52
2020-11-12,39.29,38.49
2020-11-13,38.72,38.57
2020-11-16,39.11,39.73
2020-11-17,39.78,40.4
2020-11-18,40.39,39.45
2020-11-19,39.39,40.6
2020-11-20,40.48,40.0
2020-11-23,40.02,40.77
2020-11-24,41.1,42.0
2020-11-25,41.99,41.98
2020-11-27,41.98,41.66
2020-11-30,41.6,41.01
2020-12-01,40.43,40.45
2020-12-02,40.08,40.41
2020-12-03,39.01,38.51
2020-12-04,38.59,38.46
2020-12-07,38.5,38.53
