date,open,close
2021-06-10,9.01,8.89
2021-06-11,8.8,8.27
2021-06-14,8.26,8.63
2021-06-15,8.7,8.92
2021-06-16,8.78,8.38
2021-06-17,8.55,8.26
2021-06-18,8.26,8.25
2021-06-21,8.3,8.36
2021-06-22,8.13,8.57
2021-06-23,8.6,8.74
2021-06-24,8.8,8.55
2021-06-25,8.41,8.42
2021-06-28,8.56,8.07
2021-06-29,8.15,8.17
2021-06-30,8.19,8.4
2021-07-01,8.4,7.99
2021-07-02,7.98,8.09
2021-07-06,8.38,7.84
2021-07-07,7.95,7.39
2021-07-08,7.24,7.16
2021-07-09,7.14,7.25
2021-07-12,7.29,6.79
2021-07-13,6.77,6.46
2021-07-14,6.59,6.08
2021-07-15,6.12,6.29
2021-07-16,6.3,6.08
2021-07-19,5.95,6.04
2021-07-20,6.09,6.01
2021-07-21,6.12,6.05
2021-07-22,6.12,6.42
2021-07-23,6.42,6.21
2021-07-26,6.11,6.18
2021-07-27,6.13,6.07
2021-07-28,6.05,5.98
2021-07-29,6.0,6.02
2021-07-30,6.15,6.03
2021-08-02,6.17,6.23
2021-08-03,6.26,5.91
2021-08-04,5.99,5.95
2021-08-05,5.9,6.04
2021-08-06,5.96,6.09
2021-08-09,6.12,6.1
2021-08-10,6.11,5.89
2021-08-11,5.92,5.46
2021-08-12,5.61,5.95
2021-08-13,5.9,5.81
2021-08-16,5.81,5.48
2021-08-17,5.44,5.75
2021-08-18,5.8,6.0
2021-08-19,6.0,5.67
2021-08-20,5.62,5.87
2021-08-23,5.91,6.25
2021-08-24,6.29,6.41
2021-08-25,6.42,6.51
2021-08-26,6.53,6.73
2021-08-27,6.72,7.11
2021-08-30,7.06,6.38
2021-08-31,6.55,6.77
2021-09-01,6.8,6.89
2021-09-02,6.97,7.14
2021-09-03,7.11,7.38
2021-09-07,7.3,7.01
2021-09-08,6.95,6.97
2021-09-09,6.89,6.77
2021-09-10,6.75,6.92
2021-09-13,6.98,6.79
2021-09-14,6.86,6.67
2021-09-15,6.77,6.69
2021-09-16,6.73,6.87
2021-09-17,6.87,6.31
2021-09-20,6.17,6.11
2021-09-21,6.17,5.98
2021-09-22,6.02,5.93
2021-09-23,6.0,6.22
2021-09-24,6.1,6.0
2021-09-27,5.95,5.8
2021-09-28,5.73,5.63
2021-09-29,5.72,5.43
2021-09-30,5.47,5.86
2021-10-01,5.8,6.17
2021-10-04,6.2,6.3
2021-10-05,6.5,8.22
2021-10-06,7.74,8.01
2021-10-07,8.02,7.99
2021-10-08,8.0,8.58
2021-10-11,8.62,7.86
2021-10-12,7.98,7.97
2021-10-13,8.03,8.0
2021-10-14,8.0,7.96
2021-10-15,7.97,7.94
2021-10-18,7.95,8.15
2021-10-19,8.01,8.26
2021-10-20,8.21,7.99
2021-10-21,8.12,8.35
2021-10-22,8.35,8.18
2021-10-25,8.18,8.85
2021-10-26,8.88,8.63
2021-10-27,8.51,8.27
2021-10-28,8.38,8.0
2021-10-29,8.0,8.26
2021-11-01,8.18,8.48
2021-11-02,8.42,8.89
2021-11-03,8.89,9.0
2021-11-04,8.88,8.96
2021-11-05,9.03,9.2
2021-11-08,9.32,10.26
2021-11-09,10.22,9.9
2021-11-10,10.19,9.9
2021-11-11,10.17,9.88
2021-11-12,9.9,9.48
2021-11-15,9.62,9.28
2021-11-16,9.3,9.14
2021-11-17,9.21,8.99
2021-11-18,9.0,8.64
2021-11-19,8.7,8.44
2021-11-22,8.32,8.29
2021-11-23,8.26,8.28
2021-11-24,8.13,8.55
2021-11-26,8.42,8.35
2021-11-29,8.43,8.29
2021-11-30,8.27,8.33
2021-12-01,8.48,7.9
2021-12-02,8.31,8.18
2021-12-03,8.23,7.6
2021-12-06,7.75,7.91
2021-12-07,8.09,8.79
2021-12-08,8.8,8.88
2021-12-09,8.81,8.46
2021-12-10,8.59,8.45
2021-12-13,8.36,8.5
2021-12-14,8.32,8.52
2021-12-15,8.52,8.15
2021-12-16,8.19,7.78
2021-12-17,7.7,8.15
2021-12-20,8.05,7.88
2021-12-21,7.93,8.36
2021-12-22,8.3,8.27
2021-12-23,8.32,8.4
2021-12-27,8.32,8.46
2021-12-28,8.5,8.02
2021-12-29,8.01,8.03
2021-12-30,8.0,8.22
2021-12-31,8.19,8.42
2022-01-03,8.46,8.66
2022-01-04,8.71,8.56
2022-01-05,8.46,8.03
2022-01-06,7.95,8.03
2022-01-07,7.98,8.02
2022-01-10,7.97,8.16
2022-01-11,8.16,8.71
2022-01-12,8.77,8.51
2022-01-13,8.57,8.66
2022-01-14,8.55,8.61
2022-01-18,8.42,8.07
2022-01-19,8.2,8.19
2022-01-20,8.28,8.43
2022-01-21,8.29,8.05
2022-01-24,7.9,8.01
2022-01-25,7.83,7.84
2022-01-26,8.04,7.78
2022-01-27,7.92,7.73
2022-01-28,7.73,8.36
2022-01-31,8.34,9.26
2022-02-01,9.22,9.65
2022-02-02,9.66,9.96
2022-02-03,9.69,9.47
2022-02-04,9.42,9.88
2022-02-07,10.04,10.39
2022-02-08,10.29,10.43
2022-02-09,10.53,11.3
2022-02-10,11.08,11.87
2022-02-11,11.84,11.29
2022-02-14,11.2,11.43
2022-02-15,11.68,11.89
2022-02-16,11.94,11.77
2022-02-17,11.61,11.6
2022-02-18,11.55,11.09
2022-02-22,10.94,11.31
2022-02-23,11.43,10.13
2022-02-24,9.83,11.95
2022-02-25,11.96,12.42
2022-02-28,12.35,13.01
2022-03-01,12.09,10.42
2022-03-02,10.42,11.04
2022-03-03,11.13,11.56
2022-03-04,11.43,11.03
2022-03-07,11.17,10.84
2022-03-08,10.53,10.52
2022-03-09,10.75,10.72
2022-03-10,10.43,11.45
2022-03-11,11.51,10.83
2022-03-14,10.75,10.5
2022-03-15,10.62,10.04
2022-03-16,10.12,10.89
2022-03-17,10.77,11.35
2022-03-18,11.13,10.35
2022-03-21,10.36,10.1
