date,open,close
2021-01-28,11.5,11.5
2021-01-29,12.3,12.05
2021-02-01,12.26,13.62
2021-02-02,14.19,14.11
2021-02-03,14.51,14.5
2021-02-04,14.8,14.25
2021-02-05,14.25,14.79
2021-02-08,15.18,15.2
2021-02-09,15.2,15.93
2021-02-10,16.51,17.43
2021-02-11,17.95,18.69
2021-02-12,18.69,20.12
2021-02-16,21.25,20.7
2021-02-17,21.05,21.69
2021-02-18,21.9,20.06
2021-02-19,21.79,21.77
2021-02-22,22.0,20.86
2021-02-23,20.5,19.83
2021-02-24,20.23,20.06
2021-02-25,20.0,19.35
2021-02-26,19.65,19.94
2021-03-01,20.39,20.21
2021-03-02,20.45,20.46
2021-03-03,20.56,21.0
2021-03-04,20.74,20.23
2021-03-05,20.14,19.3
2021-03-08,19.39,18.82
2021-03-09,18.88,19.69
2021-03-10,20.14,20.4
2021-03-11,20.65,23.35
2021-03-12,24.26,25.25
2021-03-15,24.51,25.11
2021-03-16,25.25,25.12
2021-03-17,25.12,26.73
2021-03-18,27.0,26.64
2021-03-19,27.12,28.25
2021-03-22,27.25,26.78
2021-03-23,26.44,23.09
2021-03-24,24.1,23.71
2021-03-25,23.7,26.65
2021-03-26,27.22,26.04
2021-03-29,25.99,24.48
2021-03-30,24.4,24.62
2021-03-31,24.75,24.34
2021-04-01,24.49,26.48
2021-04-05,26.58,26.4
2021-04-06,26.5,25.92
2021-04-07,26.29,27.38
2021-04-08,27.0,30.5
2021-04-09,30.5,31.05
2021-04-12,31.0,29.73
2021-04-13,29.57,28.37
2021-04-14,28.5,28.38
2021-04-15,29.12,29.34
2021-04-16,29.52,31.87
2021-04-19,31.56,31.5
2021-04-20,31.1,28.73
2021-04-21,29.01,29.65
2021-04-22,29.95,30.6
2021-04-23,30.81,32.44
2021-04-26,33.05,34.07
2021-04-27,34.59,33.05
2021-04-28,33.69,34.25
2021-04-29,35.0,35.88
2021-04-30,35.25,37.45
2021-05-03,38.42,38.44
2021-05-04,38.44,39.66
2021-05-05,40.05,41.93
2021-05-06,41.9,39.38
2021-05-07,39.46,39.58
2021-05-10,40.74,38.6
2021-05-11,36.29,34.42
2021-05-12,34.51,36.5
2021-05-13,36.79,35.2
2021-05-14,35.54,38.65
2021-05-17,36.97,41.01
2021-05-18,41.39,41.7
2021-05-19,42.75,45.45
2021-05-20,45.87,43.75
2021-05-21,44.0,43.55
2021-05-24,44.26,43.71
2021-05-25,43.61,40.97
2021-05-26,41.05,41.42
2021-05-27,41.91,44.99
2021-05-28,45.2,46.4
2021-06-01,44.3,43.55
2021-06-02,44.11,44.15
2021-06-03,43.44,40.9
2021-06-04,40.55,39.99
2021-06-07,40.2,42.62
2021-06-08,43.44,43.37
2021-06-09,43.57,43.79
2021-06-10,45.06,44.87
2021-06-11,45.34,46.54
2021-06-14,46.86,44.89
2021-06-15,44.94,42.35
2021-06-16,42.8,45.12
2021-06-17,44.63,42.85
2021-06-18,42.85,42.34
2021-06-21,42.5,43.52
2021-06-22,43.94,43.97
2021-06-23,43.89,44.55
2021-06-24,45.25,47.18
2021-06-25,47.55,48.94
2021-06-28,49.6,45.0
2021-06-29,45.15,43.56
2021-06-30,44.0,44.93
2021-07-01,44.75,42.42
2021-07-02,42.5,41.61
2021-07-06,41.66,40.45
2021-07-07,40.5,40.91
2021-07-08,38.99,39.08
2021-07-09,39.5,41.48
2021-07-12,41.52,42.27
2021-07-13,41.62,40.51
2021-07-14,40.21,38.42
2021-07-15,37.81,39.98
2021-07-16,39.59,37.85
2021-07-19,36.48,38.03
2021-07-20,37.17,37.51
2021-07-21,37.84,39.98
2021-07-22,40.0,38.86
2021-07-23,38.74,37.81
2021-07-26,37.0,36.25
2021-07-27,36.01,34.62
2021-07-28,35.55,37.01
2021-07-29,37.89,39.5
2021-07-30,38.58,39.14
2021-08-02,40.4,40.15
2021-08-03,40.86,42.02
2021-08-04,42.8,41.58
2021-08-05,42.0,41.88
2021-08-06,42.04,42.65
2021-08-09,42.75,42.66
2021-08-10,42.6,42.85
2021-08-11,43.19,42.74
2021-08-12,43.0,42.78
2021-08-13,43.29,44.44
2021-08-16,44.43,44.65
2021-08-17,44.75,45.51
2021-08-18,47.01,46.73
2021-08-19,46.0,45.02
2021-08-20,43.8,46.07
2021-08-23,47.3,48.37
2021-08-24,46.75,49.25
2021-08-25,49.52,49.71
2021-08-26,49.61,47.51
2021-08-27,47.9,48.99
2021-08-30,49.74,48.69
2021-08-31,49.04,48.3
2021-09-01,48.51,50.82
2021-09-02,51.19,53.0
2021-09-03,53.0,54.14
2021-09-07,55.34,55.1
2021-09-08,54.5,55.68
2021-09-09,55.95,58.09
